Unnamed: 0,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,_BaseArticleURL
0,1623,"KE Heron, JM Smyth",Ecological momentary interventions: incorporating mobile technology into psychosocial and health behaviour treatments,2010.0,British journal of health psychology,Wiley Online Library,https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1348/135910709X466063,"https://scholar.google.com/scholar?cites=3407817167771424125&as_sdt=2005&sciodt=0,5&hl=en",52,2024-06-11 20:16:42,,10.1348/135910709X466063,,,,,,,1623,115.93,812,2,14.0,"Abstract
Purpose

Psychosocial and health behaviour treatments and therapies can be extended beyond traditional research or clinical settings by using mobile technology to deliver interventions to individuals as they go about their daily lives. These ecological momentary interventions (EMIs) are treatments that are provided to people during their everyday lives (i.e. in real time) and in natural settings (i.e. real world). The goal of the present review is to synthesize and critique mobile technology-based EMI aimed at improving health behaviours and psychological and physical symptoms.

Methods

Twenty-seven interventions using palmtop computers or mobile phones to deliver ambulatory treatment for smoking cessation, weight loss, anxiety, diabetes management, eating disorders, alcohol use, and healthy eating and physical activity were identified.

Results

There is evidence that EMI can be successfully delivered, are accepted by patients, and are efficacious for treating a variety of health behaviours and physical and psychological symptoms. Limitations of the existing literature were identified and recommendations and considerations for research design, sample characteristics, measurement, statistical analyses, and clinical implementation are discussed.

Conclusions

Mobile technology-based EMI can be effectively implemented as interventions for a variety of health behaviours and psychological and physical symptoms. Future research should integrate the assessment and intervention capabilities of mobile technology to create dynamically and individually tailored EMI that are ecologically sensitive.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800172/,"https://scholar.google.com/scholar?q=related:fVV-oKj_Si8J:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",bpspsychub.onlinelibrary.wiley.com
1,749,"MN Burns, M Begale, J Duffecy, D Gergle…",Harnessing context sensing to develop a mobile intervention for depression,2011.0,Journal of medical …,jmir.org,https://www.jmir.org/2011/3/e55/HTML,"https://scholar.google.com/scholar?cites=14403866672512090817&as_sdt=2005&sciodt=0,5&hl=en",79,2024-06-11 20:16:42,HTML,,,,,,,,749,57.62,150,5,13.0,"Abstract

Background:
Mobile phone sensors can be used to develop context-aware systems that automatically detect when patients require assistance. Mobile phones can also provide ecological momentary interventions that deliver tailored assistance during problematic situations. However, such approaches have not yet been used to treat major depressive disorder.


Objective:
The purpose of this study was to investigate the technical feasibility, functional reliability, and patient satisfaction with Mobilyze!, a mobile phone- and Internet-based intervention including ecological momentary intervention and context sensing.


Methods:
We developed a mobile phone application and supporting architecture, in which machine learning models (ie, learners) predicted patients’ mood, emotions, cognitive/motivational states, activities, environmental context, and social context based on at least 38 concurrent phone sensor values (eg, global positioning system, ambient light, recent calls). The website included feedback graphs illustrating correlations between patients’ self-reported states, as well as didactics and tools teaching patients behavioral activation concepts. Brief telephone calls and emails with a clinician were used to promote adherence. We enrolled 8 adults with major depressive disorder in a single-arm pilot study to receive Mobilyze! and complete clinical assessments for 8 weeks.


Results:
Promising accuracy rates (60% to 91%) were achieved by learners predicting categorical contextual states (eg, location). For states rated on scales (eg, mood), predictive capability was poor. Participants were satisfied with the phone application and improved significantly on self-reported depressive symptoms (betaweek = –.82, P < .001, per-protocol Cohen d = 3.43) and interview measures of depressive symptoms (betaweek = –.81, P < .001, per-protocol Cohen d = 3.55). Participants also became less likely to meet criteria for major depressive disorder diagnosis (bweek = –.65, P = .03, per-protocol remission rate = 85.71%). Comorbid anxiety symptoms also decreased (betaweek = –.71, P < .001, per-protocol Cohen d = 2.58).


Conclusions:
Mobilyze! is a scalable, feasible intervention with preliminary evidence of efficacy. To our knowledge, it is the first ecological momentary intervention for unipolar depression, as well as one of the first attempts to use context sensing to identify mental health-related states. Several lessons learned regarding technical functionality, data mining, and software development process are discussed.


Trial Registration:
Clinicaltrials.gov NCT01107041; http://clinicaltrials.gov/ct2/show/NCT01107041 (Archived by WebCite at http://www.webcitation.org/60CVjPH0n)


J Med Internet Res 2011;13(3):e55

doi:10.2196/jmir.1838


Keywords
Depression; behavior therapy; telemedicine; mobile health; mobile phone; cellular phone; sensors; data mining; artificial intelligence; context-aware systems ",https://www.jmir.org/2011/3/e55/HTML,"https://scholar.google.com/scholar?q=related:wcIrd2zQ5McJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.jmir.org
2,298,"W Hofmann, PV Patel",SurveySignal: A convenient solution for experience sampling research using participants' own smartphones,2015.0,Social Science Computer Review,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0894439314525117,"https://scholar.google.com/scholar?cites=16107019859971842413&as_sdt=2005&sciodt=0,5&hl=en",270,2024-06-11 20:16:42,,10.1177/0894439314525117,,,,,,,298,33.11,149,2,9.0,"Abstract
Experience sampling or ecological momentary assessment offers unique insights into how people think, feel, and behave in their natural environments. Because the method is able to capture situational variation as it happens in “real time,” experience sampling has become an increasingly popular method in social and personality, psychology, and beyond. With the ubiquity of smartphone ownership and the recent technical advances, conducting experience sampling studies on participants’ own devices has become increasingly easy to do. Here, we present one reliable, user-friendly, highly customizable, and cost-effective solution. The web-based application, SurveySignal, integrates the idea of using short message service (SMS) messages as signals and reminders, according to fixed or random schedules and of linking these signals to mobile surveys designed with common online survey software. We describe the method and customizable parameters and then present evaluation results from nine social–psychological studies conducted with SurveySignal (overall N = 1,852). Mean response rates averaged 77% and the median response delay to signals was 8 min. An experimental manipulation of the reminder signal in one study showed that installing a reminder SMS led to a 10% increase in response rates. Next to advantages and limitations of the SMS approach, we discuss how ecologically valid research methods such as smartphone experience sampling can enrich psychological research.",https://www.researchgate.net/profile/Wilhelm-Hofmann/publication/274713688_SurveySignal/links/599deb7745851574f4b359e6/SurveySignal.pdf,"https://scholar.google.com/scholar?q=related:baHIVzmhh98J:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",journals.sagepub.com
3,291,"CKF Wen, S Schneider, AA Stone…",Compliance with mobile ecological momentary assessment protocols in children and adolescents: a systematic review and meta-analysis,2017.0,Journal of medical Internet …,jmir.org,https://www.jmir.org/2017/4/e132/,"https://scholar.google.com/scholar?cites=2182750990398252680&as_sdt=2005&sciodt=0,5&hl=en",44,2024-06-11 20:16:42,HTML,,,,,,,,291,41.57,73,4,7.0,"Abstract

Background:
Mobile device-based ecological momentary assessment (mobile-EMA) is increasingly used to collect participants' data in real-time and in context. Although EMA offers methodological advantages, these advantages can be diminished by participant noncompliance. However, evidence on how well participants comply with mobile-EMA protocols and how study design factors associated with participant compliance is limited, especially in the youth literature.


Objective:
To systematically and meta-analytically examine youth’s compliance to mobile-EMA protocols and moderators of participant compliance in clinical and nonclinical settings.


Methods:
Studies using mobile devices to collect EMA data among youth (age ≤18 years old) were identified. A systematic review was conducted to describe the characteristics of mobile-EMA protocols and author-reported factors associated with compliance. Random effects meta-analyses were conducted to estimate the overall compliance across studies and to explore factors associated with differences in youths’ compliance.


Results:
This review included 42 unique studies that assessed behaviors, subjective experiences, and contextual information. Mobile phones were used as the primary mode of EMA data collection in 48% (20/42) of the reviewed studies. In total, 12% (5/42) of the studies used wearable devices in addition to the EMA data collection platforms. About half of the studies (62%, 24/42) recruited youth from nonclinical settings. Most (98%, 41/42) studies used a time-based sampling protocol. Among these studies, most (95%, 39/41) prompted youth 2-9 times daily, for a study length ranging from 2-42 days. Sampling frequency and study length did not differ between studies with participants from clinical versus nonclinical settings. Most (88%, 36/41) studies with a time-based sampling protocol defined compliance as the proportion of prompts to which participants responded. In these studies, the weighted average compliance rate was 78.3%. The average compliance rates were not different between studies with clinical (76.9%) and nonclinical (79.2%; P=.29) and studies that used only a mobile-EMA platform (77.4%) and mobile platform plus additional wearable devices (73.0%, P=.36). Among clinical studies, the mean compliance rate was significantly lower in studies that prompted participants 2-3 times (73.5%) or 4-5 times (66.9%) compared with studies with a higher sampling frequency (6+ times: 89.3%). Among nonclinical studies, a higher average compliance rate was observed in studies that prompted participants 2-3 times daily (91.7%) compared with those that prompted participants more frequently (4-5 times: 77.4%; 6+ times: 75.0%). The reported compliance rates did not differ by duration of EMA period among studies from either clinical or nonclinical settings.


Conclusions:
The compliance rate among mobile-EMA studies in youth is moderate but suboptimal. Study design may affect protocol compliance differently between clinical and nonclinical participants; including additional wearable devices did not affect participant compliance. A more consistent compliance-related result reporting practices can facilitate understanding and improvement of participant compliance with EMA data collection among youth.


J Med Internet Res 2017;19(4):e132

doi:10.2196/jmir.6641


Keywords
ecological momentary assessment (234); compliance (70); youth (313); mHealth (2929) 
We also recommend
A Systematic Review of Methods and Procedures Used in Ecological Momentary Assessments of Diet and Physical Activity Research in Youth: An Adapted STROBE Checklist for Reporting EMA Studies (CREMAS)
Yue Liao et al., J Med Internet Res, 2016
Feasibility and Performance Test of a Real-Time Sensor-Informed Context-Sensitive Ecological Momentary Assessment to Capture Physical Activity
Genevieve Fridlund Dunton et al., J Med Internet Res, 2016
Ecological Momentary Assessment in Behavioral Research: Addressing Technological and Human Participant Challenges
Lora E Burke et al., J Med Internet Res, 2017
Monitoring Dietary Intake and Physical Activity Electronically: Feasibility, Usability, and Ecological Validity of a Mobile-Based Ecological Momentary Assessment Tool
Jorinde Eline Spook et al., J Med Internet Res, 2013
Mobile Phone-Based Unobtrusive Ecological Momentary Assessment of Day-to-Day Mood: An Explorative Study
Joost Asselbergs et al., J Med Internet Res, 2016
Lavender oil preparation Silexan is effective in mild-to-moderate major depression: a randomized, placebo- and reference-controlled trial
Siegfried Kasper et al., European Archives of Psychiatry and Clinical Neuroscience, 2024
Long-term potassium binder use for HK may improve clinical outcomes in CKD
Obi Y, et al. Kidney Med. 2024;6(1):100757.
Discover how long-term patiromer use may be associated with improved survival in CKD
Obi Y, et al. Kidney Med. 2024;6(1):100757.
To access published research related to Alpha-1 antitrypsin deficiency (AATD), visit Unite Alpha
.
To learn about diagnosis and clinical management of Alpha-1 antitrypsin deficiency (AATD), visit Unite Alpha, the AATD Scientific Hub
.
Powered by",https://www.jmir.org/2017/4/e132/,"https://scholar.google.com/scholar?q=related:iObRB3awSh4J:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.jmir.org
4,264,"SJW Verhagen, L Hasmi, M Drukker…",Use of the experience sampling method in the context of clinical trials,2016.0,BMJ Ment …,mentalhealth.bmj.com,https://mentalhealth.bmj.com/content/19/3/86.abstract,"https://scholar.google.com/scholar?cites=14674568368771380681&as_sdt=2005&sciodt=0,5&hl=en",109,2024-06-11 20:16:42,,,,,,,,,264,33.0,66,4,8.0,"Abstract

Objective The experience sampling method (ESM) is a structured diary technique to appraise subjective experiences in daily life. It is applied in psychiatric patients, as well as in patients with somatic illness. Despite the potential of ESM assessment, the improved logistics and its increased administration in research, its use in clinical trials remains limited. This paper introduces ESM for clinical trials in psychiatry and beyond.

Methods ESM is an ecologically valid method that yields a comprehensive view of an individual's daily life. It allows the assessment of various constructs (eg, quality of life, psychopathology) and psychological mechanisms (eg, stress-sensitivity, coping). These constructs are difficult to assess using cross-sectional questionnaires. ESM can be applied in treatment monitoring, as an ecological momentary intervention, in clinical trials, or in single case clinical trials. Technological advances (eg, smartphone applications) make its implementation easier.

Results Advantages of ESM are highlighted and disadvantages are discussed. Furthermore, the ecological nature of ESM data and its consequences are explored, including the potential pitfalls of ambiguously formulated research questions and the specificities of ESM in statistical analyses. The last section focuses on ESM in relation to clinical trials and discusses its future use in optimising clinical decision-making.

Conclusions ESM can be a valuable asset in clinical trial research and should be used more often to study the benefits of treatment in psychiatry and somatic health.",https://mentalhealth.bmj.com/content/ebmental/19/3/86.full.pdf,"https://scholar.google.com/scholar?q=related:yTXNpC6KpssJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",mentalhealth.bmj.com
5,251,"AM Cohn, D Hunter‐Reel, BT Hagman…",Promoting behavior change from alcohol use through mobile technology: the future of ecological momentary assessment,2011.0,Alcoholism: Clinical …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1530-0277.2011.01571.x,"https://scholar.google.com/scholar?cites=4905108539840273450&as_sdt=2005&sciodt=0,5&hl=en",12,2024-06-11 20:16:42,,10.1111/j.1530-0277.2011.01571.x,,,,,,,251,19.31,63,4,13.0,"Abstract

Background:  Interactive and mobile technologies (i.e., smartphones such as Blackberries, iPhones, and palm-top computers) show promise as an efficacious and cost-effective means of communicating health-behavior risks, improving public health outcomes, and accelerating behavior change. The present study was conducted as a “needs assessment” to examine the current available mobile smartphone applications (e.g., apps) that utilize principles of ecological momentary assessment (EMA)—daily self-monitoring or near real-time self-assessment of alcohol-use behavior—to promote positive behavior change, alcohol harm reduction, psycho-education about alcohol use, or abstinence from alcohol.

Methods:  Data were collected and analyzed from iTunes for Apple iPhone©. An inventory assessed the number of available apps that directly addressed alcohol use and consumption, alcohol treatment, or recovery, and whether these apps incorporated empirically based components of alcohol treatment.

Results:  Findings showed that few apps addressed alcohol-use behavior change or recovery. Aside from tracking drinking consumption, a minority utilized empirically based components of alcohol treatment. Some apps claimed they could serve as an intervention; however, no empirical evidence was provided.

Conclusions:  More studies are needed to examine the efficacy of mobile technology in alcohol intervention studies. The large gap between availability of mobile apps and their use in alcohol treatment programs indicates several important future directions for research.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3221771/,"https://scholar.google.com/scholar?q=related:KhzqhTpyEkQJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",onlinelibrary.wiley.com
6,234,"JD Runyan, TA Steenbergh, C Bainbridge…",A smartphone ecological momentary assessment/intervention “app” for collecting real-time data and promoting self-awareness,2013.0,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0071325,"https://scholar.google.com/scholar?cites=17562009117415014104&as_sdt=2005&sciodt=0,5&hl=en",2,2024-06-11 20:16:42,HTML,,,,,,,,234,21.27,59,4,11.0,"We have designed a flexible ecological momentary assessment/intervention smartphone (EMA/EMI) “app”. We examine the utility of this app for collecting real-time data, and assessing intra-subject variability, by using it to assess how freshman undergraduates spend their time. We also explore whether its use can promote greater self-awareness. Participants were randomly divided into an experimental group, who used the app, and a control group, who did not. We used the app to collect both randomized in-the-moment data as well as end-of-day data to assess time use. Using a posttest survey we asked participants questions about how they spent time throughout the school semester. We also asked the experimental group about their experience with the app. Among other findings, 80.49% participants indicated that they became more aware of how they spent their time using the app. Corroborating this report, among the experimental group, end-of-semester self-assessment of time spent wasted, and time spent using electronics recreationally, predicted semester GPA at a strength comparable to high school GPA and ACT score (two of the best single predictors for first semester college GPA), but had no correlation among controls. We discuss the advantages and limitations of using apps, such as ours, for EMA and/or EMI.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0071325,"https://scholar.google.com/scholar?q=related:2H6xqT7KuPMJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",journals.plos.org
7,225,"SJ Wenze, IW Miller",Use of ecological momentary assessment in mood disorders research,2010.0,Clinical psychology review,Elsevier,https://www.sciencedirect.com/science/article/pii/S0272735810001017,"https://scholar.google.com/scholar?cites=17327369676167345576&as_sdt=2005&sciodt=0,5&hl=en",169,2024-06-11 20:16:42,,,,,,,,,225,16.07,113,2,14.0,"Abstract

Ecological momentary assessment (EMA) entails repeated, intensive sampling of respondents' current experiences while they are engaged in their typical daily routines, in their natural environments. In this article we discuss benefits of using EMA techniques in mood disorders research, provide an overview of the various specific EMA techniques that have been used with mood-disordered populations to date, and summarize the diverse range of research questions that EMA has been used to explore in this field. In addition, we evaluate the feasibility and acceptability of using EMA techniques with this population and suggest additional areas that might be fruitful to investigate, with a focus on the extension of EMA techniques into treatment research. Overall, data suggest that using EMA techniques in mood disorders research is feasible, generally acceptable, and highly promising. We conclude with a discussion of caveats, limitations, and ethical considerations.",,"https://scholar.google.com/scholar?q=related:qHXUh-oud_AJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.sciencedirect.com
8,219,"KE Heron, RS Everhart, SM McHale…",Using mobile-technology-based ecological momentary assessment (EMA) methods with youth: A systematic review and recommendations,2017.0,Journal of pediatric …,academic.oup.com,https://academic.oup.com/jpepsy/article-abstract/42/10/1087/3798723,"https://scholar.google.com/scholar?cites=8347502934839793678&as_sdt=2005&sciodt=0,5&hl=en",41,2024-06-11 20:16:42,,,,,,,,,219,31.29,55,4,7.0,"Ecological momentary assessment (EMA) methods are increasingly used in social and health sciences, but the feasibility and best practices for using EMA with youth are not yet clear. We conducted a systematic review of studies that used self-report EMA methods with youth; the goal was to identify common approaches and challenges to implementation and develop recommendations for future research. We examined 54 peer-reviewed papers that reported on 24 unique studies. Papers were evaluated using a standardized, three-dimensional coding scheme focused on the following: (1) sample characteristics; (2) EMA data collection methods (sampling duration, frequency, hardware/software); (3) study implementation methods (technical/logistical challenges, training participants, compliance). Overall, the research suggests EMA can be successfully implemented with youth (age ∼ ≥7) from diverse backgrounds, but protocol adaptations may be necessary for younger children. Study design and implementation challenges and recommendations for research on youth are provided.",https://academic.oup.com/jpepsy/article/42/10/1087/3798723?login=false,"https://scholar.google.com/scholar?q=related:DhioOLFJ2HMJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",academic.oup.com
9,213,"J van Os, S Verhagen, A Marsman…","The experience sampling method as an mHealth tool to support self‐monitoring, self‐insight, and personalized health care in clinical practice",2017.0,Depression and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/da.22647,"https://scholar.google.com/scholar?cites=8379927265469467516&as_sdt=2005&sciodt=0,5&hl=en",60,2024-06-11 20:16:42,,10.1002/da.22647,,,,,,,213,30.43,53,4,7.0,"Abstract
Background

The experience sampling method (ESM) builds an intensive time series of experiences and contexts in the flow of daily life, typically consisting of around 70 reports, collected at 8–10 random time points per day over a period of up to 10 days.
Methods

With the advent of widespread smartphone use, ESM can be used in routine clinical practice. Multiple examples of ESM data collections across different patient groups and settings are shown and discussed, varying from an ESM evaluation of a 6-week randomized trial of mindfulness, to a twin study on emotion dynamics in daily life.
Results

Research shows that ESM-based self-monitoring and feedback can enhance resilience by strengthening the capacity to use natural rewards. Personalized trajectories of starting or stopping medication can be more easily initiated and predicted if sensitive feedback data are available in real time. In addition, personalized trajectories of symptoms, cognitive abilities, symptoms impacting on other symptoms, the capacity of the dynamic system of mental health to “bounce back” from disturbance, and patterns of environmental reactivity yield uniquely personal data to support shared decision making and prediction in clinical practice. Finally, ESM makes it possible to develop insight into previous implicit patterns of thought, experience, and behavior, particularly if rapid personalized feedback is available.
Conclusions

ESM enhances clinical practice and research. It is empowering, providing co-ownership of the process of diagnosis, treatment evaluation, and routine outcome measurement. Blended care, based on a mix of face-to-face and ESM-based outside-the-office treatment, may reduce costs and improve outcomes.
",https://cris.maastrichtuniversity.nl/files/34670107/Viechtbauer_2017_Experience_Sampling_Method.pdf,"https://scholar.google.com/scholar?q=related:fAvr_XJ7S3QJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",onlinelibrary.wiley.com
