Unnamed: 0,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,_BaseArticleURL
3,291,"CKF Wen, S Schneider, AA Stone…",Compliance with mobile ecological momentary assessment protocols in children and adolescents: a systematic review and meta-analysis,2017.0,Journal of medical Internet …,jmir.org,https://www.jmir.org/2017/4/e132/,"https://scholar.google.com/scholar?cites=2182750990398252680&as_sdt=2005&sciodt=0,5&hl=en",44,2024-06-11 20:16:42,HTML,,,,,,,,291,41.57,73,4,7.0,"Abstract

Background:
Mobile device-based ecological momentary assessment (mobile-EMA) is increasingly used to collect participants' data in real-time and in context. Although EMA offers methodological advantages, these advantages can be diminished by participant noncompliance. However, evidence on how well participants comply with mobile-EMA protocols and how study design factors associated with participant compliance is limited, especially in the youth literature.


Objective:
To systematically and meta-analytically examine youth’s compliance to mobile-EMA protocols and moderators of participant compliance in clinical and nonclinical settings.


Methods:
Studies using mobile devices to collect EMA data among youth (age ≤18 years old) were identified. A systematic review was conducted to describe the characteristics of mobile-EMA protocols and author-reported factors associated with compliance. Random effects meta-analyses were conducted to estimate the overall compliance across studies and to explore factors associated with differences in youths’ compliance.


Results:
This review included 42 unique studies that assessed behaviors, subjective experiences, and contextual information. Mobile phones were used as the primary mode of EMA data collection in 48% (20/42) of the reviewed studies. In total, 12% (5/42) of the studies used wearable devices in addition to the EMA data collection platforms. About half of the studies (62%, 24/42) recruited youth from nonclinical settings. Most (98%, 41/42) studies used a time-based sampling protocol. Among these studies, most (95%, 39/41) prompted youth 2-9 times daily, for a study length ranging from 2-42 days. Sampling frequency and study length did not differ between studies with participants from clinical versus nonclinical settings. Most (88%, 36/41) studies with a time-based sampling protocol defined compliance as the proportion of prompts to which participants responded. In these studies, the weighted average compliance rate was 78.3%. The average compliance rates were not different between studies with clinical (76.9%) and nonclinical (79.2%; P=.29) and studies that used only a mobile-EMA platform (77.4%) and mobile platform plus additional wearable devices (73.0%, P=.36). Among clinical studies, the mean compliance rate was significantly lower in studies that prompted participants 2-3 times (73.5%) or 4-5 times (66.9%) compared with studies with a higher sampling frequency (6+ times: 89.3%). Among nonclinical studies, a higher average compliance rate was observed in studies that prompted participants 2-3 times daily (91.7%) compared with those that prompted participants more frequently (4-5 times: 77.4%; 6+ times: 75.0%). The reported compliance rates did not differ by duration of EMA period among studies from either clinical or nonclinical settings.


Conclusions:
The compliance rate among mobile-EMA studies in youth is moderate but suboptimal. Study design may affect protocol compliance differently between clinical and nonclinical participants; including additional wearable devices did not affect participant compliance. A more consistent compliance-related result reporting practices can facilitate understanding and improvement of participant compliance with EMA data collection among youth.


J Med Internet Res 2017;19(4):e132

doi:10.2196/jmir.6641


Keywords
ecological momentary assessment (234); compliance (70); youth (313); mHealth (2929) 
We also recommend
A Systematic Review of Methods and Procedures Used in Ecological Momentary Assessments of Diet and Physical Activity Research in Youth: An Adapted STROBE Checklist for Reporting EMA Studies (CREMAS)
Yue Liao et al., J Med Internet Res, 2016
Feasibility and Performance Test of a Real-Time Sensor-Informed Context-Sensitive Ecological Momentary Assessment to Capture Physical Activity
Genevieve Fridlund Dunton et al., J Med Internet Res, 2016
Ecological Momentary Assessment in Behavioral Research: Addressing Technological and Human Participant Challenges
Lora E Burke et al., J Med Internet Res, 2017
Monitoring Dietary Intake and Physical Activity Electronically: Feasibility, Usability, and Ecological Validity of a Mobile-Based Ecological Momentary Assessment Tool
Jorinde Eline Spook et al., J Med Internet Res, 2013
Mobile Phone-Based Unobtrusive Ecological Momentary Assessment of Day-to-Day Mood: An Explorative Study
Joost Asselbergs et al., J Med Internet Res, 2016
Lavender oil preparation Silexan is effective in mild-to-moderate major depression: a randomized, placebo- and reference-controlled trial
Siegfried Kasper et al., European Archives of Psychiatry and Clinical Neuroscience, 2024
Long-term potassium binder use for HK may improve clinical outcomes in CKD
Obi Y, et al. Kidney Med. 2024;6(1):100757.
Discover how long-term patiromer use may be associated with improved survival in CKD
Obi Y, et al. Kidney Med. 2024;6(1):100757.
To access published research related to Alpha-1 antitrypsin deficiency (AATD), visit Unite Alpha
.
To learn about diagnosis and clinical management of Alpha-1 antitrypsin deficiency (AATD), visit Unite Alpha, the AATD Scientific Hub
.
Powered by",https://www.jmir.org/2017/4/e132/,"https://scholar.google.com/scholar?q=related:iObRB3awSh4J:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.jmir.org
8,219,"KE Heron, RS Everhart, SM McHale…",Using mobile-technology-based ecological momentary assessment (EMA) methods with youth: A systematic review and recommendations,2017.0,Journal of pediatric …,academic.oup.com,https://academic.oup.com/jpepsy/article-abstract/42/10/1087/3798723,"https://scholar.google.com/scholar?cites=8347502934839793678&as_sdt=2005&sciodt=0,5&hl=en",41,2024-06-11 20:16:42,,,,,,,,,219,31.29,55,4,7.0,"Ecological momentary assessment (EMA) methods are increasingly used in social and health sciences, but the feasibility and best practices for using EMA with youth are not yet clear. We conducted a systematic review of studies that used self-report EMA methods with youth; the goal was to identify common approaches and challenges to implementation and develop recommendations for future research. We examined 54 peer-reviewed papers that reported on 24 unique studies. Papers were evaluated using a standardized, three-dimensional coding scheme focused on the following: (1) sample characteristics; (2) EMA data collection methods (sampling duration, frequency, hardware/software); (3) study implementation methods (technical/logistical challenges, training participants, compliance). Overall, the research suggests EMA can be successfully implemented with youth (age ∼ ≥7) from diverse backgrounds, but protocol adaptations may be necessary for younger children. Study design and implementation challenges and recommendations for research on youth are provided.",https://academic.oup.com/jpepsy/article/42/10/1087/3798723?login=false,"https://scholar.google.com/scholar?q=related:DhioOLFJ2HMJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",academic.oup.com
12,180,"M May, DU Junghaenel, M Ono, AA Stone…",Ecological momentary assessment methodology in chronic pain research: a systematic review,2018.0,The Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1526590018300300,"https://scholar.google.com/scholar?cites=8746864352103440544&as_sdt=2005&sciodt=0,5&hl=en",87,2024-06-11 20:16:42,HTML,,,,,,,,180,30.0,36,5,6.0,"Highlights

•

One hundred and five articles from 62 research projects were included in the review.

•

Reviewed studies were heterogeneous in terms of protocol design.

•

Protocol design features were not consistently reported.

•

Reporting guidelines are intended to facilitate replicability and interpretation of results.

Abstract

Self-reported pain intensity assessments are central to chronic pain research. Ecological momentary assessment (EMA) methodologies are uniquely positioned to collect these data, and are indeed being used in the field. However, EMA protocols are complex, and many decisions are necessary in the design of EMA research studies. A systematic literature review identified 105 articles drawing from 62 quantitative EMA research projects examining pain intensity in adult chronic pain patients. Study characteristics were tabulated to summarize and describe the use of EMA, with an emphasis placed on various dimensions of decision-making involved in executing EMA methodologies. Most identified studies considered within-person relationships between pain and other variables, and a few examined interventions on chronic pain. There was a trend toward the use of smartphones as EMA data collection devices more recently, and completion rates were not reported in nearly one third of studies. Pain intensity items varied widely with respect to number of scale points, anchor labels, and length of reporting period; most used numeric rating scales. Recommendations are provided for reporting to improve reproducibility, comparability, and interpretation of results, and for opportunities to clarify the importance of design decisions.

Perspective

Studies that use EMA methodologies to assess pain intensity are heterogeneous. Aspects of protocol design, including data input modality and pain item construction, have the potential to influence the data collected. Thorough reporting on design features and completion rates therefore facilitates reproducibility, comparability, and interpretation of study results.",https://www.sciencedirect.com/science/article/pii/S1526590018300300,"https://scholar.google.com/scholar?q=related:oCCnDckaY3kJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.sciencedirect.com
14,170,"IH Bell, MH Lim, SL Rossell, N Thomas",Ecological momentary assessment and intervention in the treatment of psychotic disorders: a systematic review,2017.0,Psychiatric Services,Am Psychiatric Assoc,https://ps.psychiatryonline.org/doi/abs/10.1176/appi.ps.201600523,"https://scholar.google.com/scholar?cites=363655617632699891&as_sdt=2005&sciodt=0,5&hl=en",7,2024-06-11 20:16:42,,10.1176/appi.ps.201600523,,,,,,,170,24.29,43,4,7.0,"Abstract
Objective:

Ecological momentary assessment (EMA) and ecological momentary intervention (EMI) are technologies used to track fluctuations in experiences and prompt behavioral responses within the context of a person’s daily life. Most commonly delivered via smartphone, EMA and EMI have potential to provide simple, cost-effective, and user-led treatment for psychotic disorders. This systematic review aimed to synthesize current research exploring the feasibility, acceptability, and clinical outcomes of EMA and EMI in the treatment of psychotic disorders.

Methods:

A systematic search was conducted identifying studies published between 1980 and July 7, 2016, by searching PubMed, PsycINFO, PsycARTICLES, and the Cochrane Central Register of Controlled Trials with combinations of search terms related to mobile devices, EMA and EMI, and psychotic disorders.

Results:

Of 1,623 studies identified, nine met inclusion criteria for the review. These studies found satisfactory feasibility and acceptability and preliminary evidence of improved clinical outcomes. The interventions, which had a broad array of features, targeted remote monitoring of illness and symptoms, and they also targeted illness self-management by using momentary reminders or instructions for behaviors, including medication adherence, management of symptoms and psychosocial impairments, daily living skills, and goal achievement.

Conclusions:

The findings of this review provide preliminary support for the clinical utility of EMA and EMI in the treatment of psychotic disorders. Future research should explore further applications of these technologies with larger sample sizes and controlled designs.",https://ps.psychiatryonline.org/doi/full/10.1176/appi.ps.201600523,"https://scholar.google.com/scholar?q=related:84WShdv2CwUJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",ps.psychiatryonline.org
15,164,"D Colombo, J Fernández-Álvarez, A Patané…",Current state and future directions of technology-based ecological momentary assessment and intervention for major depressive disorder: a systematic review,2019.0,Journal of clinical …,mdpi.com,https://www.mdpi.com/2077-0383/8/4/465,"https://scholar.google.com/scholar?cites=14173371025985936758&as_sdt=2005&sciodt=0,5&hl=en",6,2024-06-11 20:16:42,HTML,,,,,,,,164,32.8,41,4,5.0,"Abstract
Ecological momentary assessment (EMA) and ecological momentary intervention (EMI) are alternative approaches to retrospective self-reports and face-to-face treatments, and they make it possible to repeatedly assess patients in naturalistic settings and extend psychological support into real life. The increase in smartphone applications and the availability of low-cost wearable biosensors have further improved the potential of EMA and EMI, which, however, have not yet been applied in clinical practice. Here, we conducted a systematic review, using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, to explore the state of the art of technology-based EMA and EMI for major depressive disorder (MDD). A total of 33 articles were included (EMA = 26; EMI = 7). First, we provide a detailed analysis of the included studies from technical (sampling methods, duration, prompts), clinical (fields of application, adherence rates, dropouts, intervention effectiveness), and technological (adopted devices) perspectives. Then, we identify the advantages of using information and communications technologies (ICTs) to extend the potential of these approaches to the understanding, assessment, and intervention in depression. Furthermore, we point out the relevant issues that still need to be addressed within this field, and we discuss how EMA and EMI could benefit from the use of sensors and biosensors, along with recent advances in machine learning for affective modelling.",https://www.mdpi.com/2077-0383/8/4/465,"https://scholar.google.com/scholar?q=related:dp20udrtscQJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.mdpi.com
16,164,"A Versluis, B Verkuil, P Spinhoven…",Changing mental health and positive psychological well-being using ecological momentary interventions: a systematic review and meta-analysis,2016.0,Journal of medical …,jmir.org,https://www.jmir.org/2016/6/e152/'%20+%20match%20+%20',"https://scholar.google.com/scholar?cites=4329620186949958657&as_sdt=2005&sciodt=0,5&hl=en",74,2024-06-11 20:16:42,HTML,,,,,,,,164,20.5,41,4,8.0,"Abstract

Background:
Mental health problems are highly prevalent, and there is need for the self-management of (mental) health. Ecological momentary interventions (EMIs) can be used to deliver interventions in the daily life of individuals using mobile devices.


Objectives:
The aim of this study was to systematically assess and meta-analyze the effect of EMI on 3 highly prevalent mental health outcomes (anxiety, depression, and perceived stress) and positive psychological outcomes (eg, acceptance).


Methods:
PsycINFO and Web of Science were searched for relevant publications, and the last search was done in September 2015. Three concepts were used to find publications: (1) mental health, (2) mobile phones, and (3) interventions. A total of 33 studies (using either a within- or between-subject design) including 43 samples that received an EMI were identified (n=1301), and relevant study characteristics were coded using a standardized form. Quality assessment was done with the Cochrane Collaboration tool.


Results:
Most of the EMIs focused on a clinical sample, used an active intervention (that offered exercises), and in over half of the studies, additional support by a mental health professional (MHP) was given. The EMI lasted on average 7.48 weeks (SD=6.46), with 2.80 training episodes per day (SD=2.12) and 108.25 total training episodes (SD=123.00). Overall, 27 studies were included in the meta-analysis, and after removing 6 outliers, a medium effect was found on mental health in the within-subject analyses (n=1008), with g=0.57 and 95% CI (0.45-0.70). This effect did not differ as function of outcome type (ie, anxiety, depression, perceived stress, acceptance, relaxation, and quality of life). The only moderator for which the effect varied significantly was additional support by an MHP (MHP-supported EMI, g=0.73, 95% CI: 0.57-0.88; stand-alone EMI, g=0.45, 95% CI: 0.22-0.69; stand-alone EMI with access to care as usual, g=0.38, 95% CI: 0.11-0.64). In the between-subject studies, 13 studies were included, and a small to medium effect was found (g=0.40, 95% CI: 0.22-0.57). Yet, these between-subject analyses were at risk for publication bias and were not suited for moderator analyses. Furthermore, the overall quality of the studies was relatively low.


Conclusions:
Results showed that there was a small to medium effect of EMIs on mental health and positive psychological well-being and that the effect was not different between outcome types. Moreover, the effect was larger with additional support by an MHP. Future randomized controlled trials are needed to further strengthen the results and to determine potential moderator variables. Overall, EMIs offer great potential for providing easy and cost-effective interventions to improve mental health and increase positive psychological well-being.


J Med Internet Res 2016;18(6):e152

doi:10.2196/jmir.5642


Keywords
mHealth (2929); ecological momentary intervention (23); mental health (1649); anxiety (645); depression (968); stress (297); meta-analysis (251); systematic review (591) ",https://www.jmir.org/2016/6/e152/'%20+%20match%20+%20',"https://scholar.google.com/scholar?q=related:ATyD557mFTwJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",www.jmir.org
19,131,"LP De Vries, BML Baselmans, M Bartels",Smartphone-based ecological momentary assessment of well-being: A systematic review and recommendations for future studies,2021.0,Journal of Happiness Studies,Springer,https://link.springer.com/article/10.1007/s10902-020-00324-7,"https://scholar.google.com/scholar?cites=6296932039579067419&as_sdt=2005&sciodt=0,5&hl=en",26,2024-06-11 20:16:42,HTML,10.1007/s10902-020-00324-7,,,,,,,131,43.67,44,3,3.0,"Feelings of well-being and happiness fluctuate over time and contexts. Ecological Momentary Assessment (EMA) studies can capture fluctuations in momentary behavior, and experiences by assessing these multiple times per day. Traditionally, EMA was performed using pen and paper. Recently, due to technological advances EMA studies can be conducted more easily with smartphones, a device ubiquitous in our society. The goal of this review was to evaluate the literature on smartphone-based EMA in well-being research in healthy subjects. The systematic review was conducted according to the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA) guidelines. Searching PubMed and Web of Science, we identified 53 studies using smartphone-based EMA of well-being. Studies were heterogeneous in designs, context, and measures. The average study duration was 12.8 days, with well-being assessed 2–12 times per day. Half of the studies included objective data (e.g. location). Only 47.2% reported compliance, indicating a mean of 71.6%. Well-being fluctuated daily and weekly, with higher well-being in evenings and weekends. These fluctuations disappeared when location and activity were accounted for. On average, being in nature and physical activity relates to higher well-being. Working relates to lower well-being, but workplace and company do influence well-being. The important advantages of using smartphones instead of other devices to collect EMAs are the easier data collection and flexible designs. Smartphone-based EMA reach far larger maximum sample sizes and more easily add objective data to their designs than palm-top/PDA studies. Smartphone-based EMA research is feasible to gain insight in well-being fluctuations and its determinants and offers the opportunity for parallel objective data collection. Most studies currently focus on group comparisons, while studies on individual differences in well-being patterns and fluctuations are lacking. We provide recommendations for future smartphone-based EMA research regarding measures, objective data and analyses.",https://link.springer.com/article/10.1007/s10902-020-00324-7,"https://scholar.google.com/scholar?q=related:G-Ti0VMyY1cJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",link.springer.com
23,116,"A Balaskas, SM Schueller, AL Cox, G Doherty",Ecological momentary interventions for mental health: A scoping review,2021.0,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248152,"https://scholar.google.com/scholar?cites=11828765294154354432&as_sdt=2005&sciodt=0,5&hl=en",29,2024-06-11 20:16:42,HTML,,,,,,,,116,38.67,29,4,3.0,"Background

The development of mobile computing technology has enabled the delivery of psychological interventions while people go about their everyday lives. The original visions of the potential of these “ecological momentary interventions” were presented over a decade ago, and the widespread adoption of smartphones in the intervening years has led to a variety of research studies exploring the feasibility of these aspirations. However, there is a dearth of research describing the different dimensions, characteristics, and features of these interventions, as constructed.

Objective

To provide an overview of the definitions given for “ecological momentary interventions” in the treatment of common mental health disorders, and describe the set of technological and interaction possibilities which have been used in the design of these interventions.

Methods

A systematic search identified relevant literature published between 2009 and 2020 in the PubMed, PsycInfo, and ACM Guide to the Computing Literature databases. Following screening, data were extracted from eligible articles using a standardized extraction worksheet. Selected articles were then thematically categorized.

Results

The search identified 583 articles of which 64 met the inclusion criteria. The interventions target a range of mental health problems, with diverse aims, intervention designs and evaluation approaches. The studies employed a variety of features for intervention delivery, but recent research is overwhelmingly comprised of studies based on smartphone apps (30 of 42 papers that described an intervention). Twenty two studies employed sensors for the collection of data in order to provide just-in-time support or predict psychological states.

Conclusions

With the shift towards smartphone apps, the vision for EMIs has begun to be realised. Recent years have seen increased exploration of the use of sensors and machine learning, but the role of humans in the delivery of EMI is also varied. The variety of capabilities exhibited by EMIs motivates development of a more precise vocabulary for capturing both automatic and human tailoring of these interventions.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248152,"https://scholar.google.com/scholar?q=related:AA-KEV03KKQJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",journals.plos.org
25,109,"B Loo Gee, KM Griffiths, A Gulliver",Effectiveness of mobile technologies delivering Ecological Momentary Interventions for stress and anxiety: a systematic review,2016.0,Journal of the American …,academic.oup.com,https://academic.oup.com/jamia/article-abstract/23/1/221/2379916,"https://scholar.google.com/scholar?cites=3794845511679192569&as_sdt=2005&sciodt=0,5&hl=en",106,2024-06-11 20:16:42,,,,,,,,,109,13.63,36,3,8.0,"Objectives Mobile technologies may be suitable for delivering Ecological Momentary Interventions (EMI) to treat anxiety in real-time. This review aims to synthesize evidence on the effectiveness of EMI for treating anxiety conditions.

Materials and Methods Four databases and the reference lists of previous studies were searched. A total of 1949 abstracts were double screened for inclusion. Sufficient studies were available to undertake a quantitative meta-analysis on EMIs on generalized anxiety symptoms.

Results The 15 randomized trials and randomized controlled trials examined anxiety ( n = 7), stress ( n = 3), anxiety and stress ( n = 2), panic disorder ( n = 2), and social phobia ( n = 1). Eight EMIs comprised self-monitoring integrated with therapy modules, seven comprised multimedia content, and three comprised self-monitoring only. The quality of studies presented high risk of biases. Meta-analysis ( n = 7) demonstrated that EMIs reduced generalized anxiety compared to control and/or comparison groups (Effect Size (ES) = 0.32, 95% CI, 0.12-0.53). Most EMIs targeting stress were reported effective relative to control as were the two EMIs targeting panic disorders. The EMI targeting social phobia was not effective.

Discussion EMIs have potential in treating both anxiety and stress. However, few high-quality trials have been conducted for specific anxiety disorders. Further trials are needed to assess the value of EMI technologies for anxiety in enhancing existing treatments.

Conclusion This study found a small significant effect of EMI studies on reducing generalized anxiety. Studies on stress demonstrated EMI was effective compared to control, with the small number of studies on panic and social phobia demonstrating mixed results.",https://academic.oup.com/jamia/article/23/1/221/2379916,"https://scholar.google.com/scholar?q=related:-a0fDeP_qTQJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",academic.oup.com
30,92,"A Sedano-Capdevila, A Porras-Segovia…",Use of ecological momentary assessment to study suicidal thoughts and behavior: a systematic review,2021.0,Current psychiatry …,Springer,https://link.springer.com/article/10.1007/s11920-021-01255-7,"https://scholar.google.com/scholar?cites=11886527389732604064&as_sdt=2005&sciodt=0,5&hl=en",197,2024-06-11 20:16:42,,10.1007/s11920-021-01255-7,,,,,,,92,30.67,31,3,3.0,"Purpose of Review

Ecological momentary assessment (EMA) is a recently introduced approach to patient evaluation that consists of asking patients questions in real time and in their usual habitat. This method seeks to contribute to suicide prevention by providing psychiatrists with detailed information about suicidal thoughts and behavior, how these fluctuate over short periods of time, and the short-term risk factors presented by patients. We conducted a systematic review of published research using EMA to study suicidal thoughts and behavior.

Recent Findings

Several systematic reviews of EMA in mental health have been conducted to date, and the literature contains numerous theoretical papers and compilations on EMA and suicide phenomena. To date, however, no systematic reviews have explored the use of this tool to study suicidal thoughts and behavior.

Summary

We performed a systematic review of five databases (i.e., PubMed, Embase, Scopus, Web of Science, and PsycINFO) to identify studies on EMA and suicidal thoughts and behavior. An initial search revealed 544 articles. Following the study selection process, 35 studies were included in the review. Almost three-quarters of the studies were published in the last 4 years. The studies reviewed concluded that EMA was generally feasible and well accepted. EMA findings correlated well with the results of a retrospective assessment, though tended to over-represent symptom severity. Our review points to important aspects of suicidal thoughts and behavior, such as its wide fluctuation over short periods of time. Negative affect and disturbed sleep, among others, emerged as short-term predictors of suicidal thoughts and behavior. Therefore, EMA is a potentially useful tool in clinical practice, although not without drawbacks, such as participant fatigue with questionnaires and ethical concerns.",,"https://scholar.google.com/scholar?q=related:oIj29a5t9aQJ:scholar.google.com/&scioq=%22ecological+momentary+assessment%22%7C%22experience+sampling%22+%22ecological+momentary+intervention%22+%22mobile%22%7C%22smartphone%22%7C%22app%22&hl=en&as_sdt=0,5&as_vis=1",link.springer.com
