Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract
The Effect of Smartphone App-Based Interventions for Patients With Hypertension: Systematic Review and Meta-Analysis,"Xu H, Long H.",JMIR Mhealth Uhealth. 2020 Oct 19;8(10):e21759. doi: 10.2196/21759.,Xu H,JMIR Mhealth Uhealth,2020,2020/10/19,PMC7605981,,10.2196/21759,"BACKGROUND: Hypertension is a major cause of cardiovascular disease, which is the leading cause of premature death. People with hypertension who do not comply with recommended treatment strategies have a higher risk of heart attacks and strokes, leading to hospitalization and consequently greater health care costs. The smartphone, which is now ubiquitous, offers a convenient tool to aid in the treatment of hypertension through the use of apps targeting lifestyle management, and such app-based interventions have shown promising results. In particular, recent evidence has shown the feasibility, acceptability, and success of digital interventions in changing the behavior of people with chronic conditions. OBJECTIVE: The aim of this study was to systematically compile available evidence to determine the overall effect of smartphone apps on blood pressure control, medication adherence, and lifestyle changes for people with hypertension. METHODS: This systematic review was conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) statement guidelines. Databases were searched to identify randomized controlled trials related to the influence of an app-based intervention in people with hypertension. Data extracted from the included studies were subjected to a meta-analysis to compare the effects of the smartphone app intervention to a control. RESULTS: Eight studies with a total of 1657 participants fulfilled the inclusion criteria. Pooled analysis of 6 studies assessing systolic blood pressure showed a significant overall effect in favor of the smartphone intervention (weighted mean difference -2.28, 95% CI -3.90-0.66). Pooled analysis of studies assessing medication adherence demonstrated a significant effect (P<.001) in favor of the intervention group (standard mean difference 0.38, 95% CI 0.26-0.50) with low heterogeneity (I(2)=0%). No difference between groups was demonstrated with respect to physical activity. CONCLUSIONS: A smartphone intervention leads to a reduction in blood pressure and an increase in medication adherence for people with hypertension. Future research should focus on the effect of behavior coaching apps on medication adherence, lifestyle change, and blood pressure reduction."
Factors Influencing Adherence to mHealth Apps for Prevention or Management of Noncommunicable Diseases: Systematic Review,"Jakob R, Harperink S, Rudolf AM, Fleisch E, Haug S, Mair JL, Salamanca-Sanabria A, Kowatsch T.",J Med Internet Res. 2022 May 25;24(5):e35371. doi: 10.2196/35371.,Jakob R,J Med Internet Res,2022,2022/05/25,PMC9178451,,10.2196/35371,"BACKGROUND: Mobile health (mHealth) apps show vast potential in supporting patients and health care systems with the increasing prevalence and economic costs of noncommunicable diseases (NCDs) worldwide. However, despite the availability of evidence-based mHealth apps, a substantial proportion of users do not adhere to them as intended and may consequently not receive treatment. Therefore, understanding the factors that act as barriers to or facilitators of adherence is a fundamental concern in preventing intervention dropouts and increasing the effectiveness of digital health interventions. OBJECTIVE: This review aimed to help stakeholders develop more effective digital health interventions by identifying factors influencing the continued use of mHealth apps targeting NCDs. We further derived quantified adherence scores for various health domains to validate the qualitative findings and explore adherence benchmarks. METHODS: A comprehensive systematic literature search (January 2007 to December 2020) was conducted on MEDLINE, Embase, Web of Science, Scopus, and ACM Digital Library. Data on intended use, actual use, and factors influencing adherence were extracted. Intervention-related and patient-related factors with a positive or negative influence on adherence are presented separately for the health domains of NCD self-management, mental health, substance use, nutrition, physical activity, weight loss, multicomponent lifestyle interventions, mindfulness, and other NCDs. Quantified adherence measures, calculated as the ratio between the estimated intended use and actual use, were derived for each study and compared with the qualitative findings. RESULTS: The literature search yielded 2862 potentially relevant articles, of which 99 (3.46%) were included as part of the inclusion criteria. A total of 4 intervention-related factors indicated positive effects on adherence across all health domains: personalization or tailoring of the content of mHealth apps to the individual needs of the user, reminders in the form of individualized push notifications, user-friendly and technically stable app design, and personal support complementary to the digital intervention. Social and gamification features were also identified as drivers of app adherence across several health domains. A wide variety of patient-related factors such as user characteristics or recruitment channels further affects adherence. The derived adherence scores of the included mHealth apps averaged 56.0% (SD 24.4%). CONCLUSIONS: This study contributes to the scarce scientific evidence on factors that positively or negatively influence adherence to mHealth apps and is the first to quantitatively compare adherence relative to the intended use of various health domains. As underlying studies mostly have a pilot character with short study durations, research on factors influencing adherence to mHealth apps is still limited. To facilitate future research on mHealth app adherence, researchers should clearly outline and justify the app's intended use; report objective data on actual use relative to the intended use; and, ideally, provide long-term use and retention data."
"Effectiveness, reach, uptake, and feasibility of digital health interventions for adults with type 2 diabetes: a systematic review and meta-analysis of randomised controlled trials","Moschonis G, Siopis G, Jung J, Eweka E, Willems R, Kwasnicka D, Asare BY, Kodithuwakku V, Verhaeghe N, Vedanthan R, Annemans L, Oldenburg B, Manios Y; DigiCare4You Consortium.",Lancet Digit Health. 2023 Mar;5(3):e125-e143. doi: 10.1016/S2589-7500(22)00233-3.,Moschonis G,Lancet Digit Health,2023,2023/02/24,,,10.1016/S2589-7500(22)00233-3,"BACKGROUND: Digital health interventions have shown promising results for the management of type 2 diabetes, but a comparison of the effectiveness and implementation of the different modes is not currently available. Therefore, this study aimed to compare the effectiveness of SMS, smartphone application, and website-based interventions on improving glycaemia in adults with type 2 diabetes and report on their reach, uptake, and feasibility. METHODS: In this systematic review and meta-analysis, we searched CINAHL, Cochrane Central, Embase, MEDLINE, and PsycInfo on May 25, 2022, for randomised controlled trials (RCTs) that examined the effectiveness of digital health interventions in reducing glycated haemoglobin A(1c) (HbA(1c)) in adults with type 2 diabetes, published in English from Jan 1, 2009. Screening was carried out using Covidence, and data were extracted following Cochrane's guidelines. The primary endpoint assessed was the change in the mean (and 95% CI) plasma concentration of HbA(1c) at 3 months or more. Cochrane risk of bias 2 was used to assess risk of bias. Data on reach, uptake, and feasibility were summarised narratively and data on HbA(1c) reduction were synthesised in a meta-analysis. Grading of Recommendations, Assessment, Development, and Evaluation criteria was used to evaluate the level of evidence. The study was registered with PROSPERO, CRD42021247845. FINDINGS: Of the 3236 records identified, 56 RCTs from 24 regions (n=11 486 participants), were included in the narrative synthesis, and 26 studies (n=4546 participants) in the meta-analysis. 20 studies used SMS as the primary mode of delivery of the digital health intervention, 25 used smartphone applications, and 11 implemented interventions via websites. Smartphone application interventions reported higher reach compared with SMS and website-based interventions, but website-based interventions reported higher uptake compared with SMS and smartphone application interventions. Effective interventions, in general, included people with greater severity of their condition at baseline (ie, higher HbA(1c)) and administration of a higher dose intensity of the intervention, such as more frequent use of smartphone applications. Overall, digital health intervention group participants had a -0.30 (95% CI -0.42 to -0.19) percentage point greater reduction in HbA(1c), compared with control group participants. The difference in HbA(1c) reduction between groups was statistically significant when interventions were delivered through smartphone applications (-0.42% [-0.63 to -0.20]) and via SMS (-0.37% [-0.57 to -0.17]), but not when delivered via websites (-0.09% [-0.64 to 0.46]). Due to the considerable heterogeneity between included studies, the level of evidence was moderate overall. INTERPRETATION: Smartphone application and SMS interventions, but not website-based interventions, were associated with better glycaemic control. However, the studies' heterogeneity should be recognised. Considering that both smartphone application and SMS interventions are effective for diabetes management, clinicians should consider factors such as reach, uptake, patient preference, and context of the intervention when deciding on the mode of delivery of the intervention. Nine in ten people worldwide own a feature phone and can receive SMS and four in five people have access to a smartphone, with numerous smartphone applications being available for diabetes management. Clinicians should familiarise themselves with this modality of programme delivery and encourage people with type 2 diabetes to use evidence-based applications for improving their self-management of diabetes. Future research needs to describe in detail the mediators and moderators of the effectiveness and implementation of SMS and smartphone application interventions, such as the optimal dose, frequency, timing, user interface, and communication mode to both further improve their effectiveness and to increase their reach, uptake, and feasibility. FUNDING: EU's Horizon 2020 Research and Innovation Programme."
Mobile Technology-Based Interventions for Stroke Self-Management Support: Scoping Review,"Thompson AN, Dawson DR, Legasto-Mulvale JM, Chandran N, Tanchip C, Niemczyk V, Rashkovan J, Jeyakumar S, Wang RH, Cameron JI, Nalder E.",JMIR Mhealth Uhealth. 2023 Dec 6;11:e46558. doi: 10.2196/46558.,Thompson AN,JMIR Mhealth Uhealth,2023,2023/12/06,PMC10733834,,10.2196/46558,"BACKGROUND: There is growing interest in enhancing stroke self-management support using mobile health (mHealth) technology (eg, smartphones and apps). Despite this growing interest, ""self-management support"" is inconsistently defined and applied in the poststroke mHealth intervention literature, which limits efforts to synthesize and compare evidence. To address this gap in conceptual clarity, a scoping review was conducted. OBJECTIVE: The objectives were to (1) identify and describe the types of poststroke mHealth interventions evaluated using a randomized controlled trial design, (2) determine whether (and how) such interventions align with well-accepted conceptualizations of self-management support (the theory by Lorig and Holman and the Practical Reviews in Self-Management Support [PRISMS] taxonomy by Pearce and colleagues), and (3) identify the mHealth functions that facilitate self-management. METHODS: A scoping review was conducted according to the methodology by Arksey and O'Malley and Levac et al. In total, 7 databases were searched. Article screening and data extraction were performed by 2 reviewers. The data were analyzed using descriptive statistics and content analysis. RESULTS: A total of 29 studies (26 interventions) were included. The interventions addressed 7 focal areas (physical exercise, risk factor management, linguistic exercise, activities of daily living training, medication adherence, stroke education, and weight management), 5 types of mobile devices (mobile phones or smartphones, tablets, wearable sensors, wireless monitoring devices, and laptops), and 7 mHealth functions (educating, communicating, goal setting, monitoring, providing feedback, reminding, and motivating). Collectively, the interventions aligned well with the concept of self-management support. However, on an individual basis (per intervention), the alignment was less strong. CONCLUSIONS: On the basis of the results, it is recommended that future research on poststroke mHealth interventions be more theoretically driven, more multidisciplinary, and larger in scale."
Ecological momentary interventions for mental health: A scoping review,"Balaskas A, Schueller SM, Cox AL, Doherty G.",PLoS One. 2021 Mar 11;16(3):e0248152. doi: 10.1371/journal.pone.0248152. eCollection 2021.,Balaskas A,PLoS One,2021,2021/03/11,PMC7951936,,10.1371/journal.pone.0248152,"BACKGROUND: The development of mobile computing technology has enabled the delivery of psychological interventions while people go about their everyday lives. The original visions of the potential of these ""ecological momentary interventions"" were presented over a decade ago, and the widespread adoption of smartphones in the intervening years has led to a variety of research studies exploring the feasibility of these aspirations. However, there is a dearth of research describing the different dimensions, characteristics, and features of these interventions, as constructed. OBJECTIVE: To provide an overview of the definitions given for ""ecological momentary interventions"" in the treatment of common mental health disorders, and describe the set of technological and interaction possibilities which have been used in the design of these interventions. METHODS: A systematic search identified relevant literature published between 2009 and 2020 in the PubMed, PsycInfo, and ACM Guide to the Computing Literature databases. Following screening, data were extracted from eligible articles using a standardized extraction worksheet. Selected articles were then thematically categorized. RESULTS: The search identified 583 articles of which 64 met the inclusion criteria. The interventions target a range of mental health problems, with diverse aims, intervention designs and evaluation approaches. The studies employed a variety of features for intervention delivery, but recent research is overwhelmingly comprised of studies based on smartphone apps (30 of 42 papers that described an intervention). Twenty two studies employed sensors for the collection of data in order to provide just-in-time support or predict psychological states. CONCLUSIONS: With the shift towards smartphone apps, the vision for EMIs has begun to be realised. Recent years have seen increased exploration of the use of sensors and machine learning, but the role of humans in the delivery of EMI is also varied. The variety of capabilities exhibited by EMIs motivates development of a more precise vocabulary for capturing both automatic and human tailoring of these interventions."
The Effectiveness of Smartphone App-Based Interventions for Assisting Smoking Cessation: Systematic Review and Meta-analysis,"Guo YQ, Chen Y, Dabbs AD, Wu Y.",J Med Internet Res. 2023 Apr 20;25:e43242. doi: 10.2196/43242.,Guo YQ,J Med Internet Res,2023,2023/04/20,PMC10160935,,10.2196/43242,"BACKGROUND: Smoking is a leading cause of premature death globally. Quitting smoking reduces the risk of all-cause mortality by 11%-34%. Smartphone app-based smoking cessation (SASC) interventions have been developed and are widely used. However, the evidence for the effectiveness of smartphone-based interventions for smoking cessation is currently equivocal. OBJECTIVE: The purpose of this study was to synthesize the evidence for the effectiveness of smartphone app-based interventions for smoking cessation. METHODS: We conducted a systematic review and meta-analysis of the effectiveness of smartphone interventions for smoking cessation based on the Cochrane methodology. An electronic literature search was performed using the Cochrane Library, Web of Science, PubMed, Embase, PsycINFO, China National Knowledge Infrastructure, and Wanfang databases to identify published papers in English or Chinese (there was no time limit regarding the publication date). The outcome was the smoking abstinence rate, which was either a 7-day point prevalence abstinence rate or a continuous abstinence rate. RESULTS: A total of 9 randomized controlled trials involving 12,967 adults were selected for the final analysis. The selected studies from 6 countries (the United States, Spain, France, Switzerland, Canada, and Japan) were included in the meta-analysis between 2018 and 2022. Pooled effect sizes (across all follow-up time points) revealed no difference between the smartphone app group and the comparators (standard care, SMS text messaging intervention, web-based intervention, smoking cessation counseling, or apps as placebos without real function; odds ratio [OR] 1.25, 95% CI 0.99-1.56, P=.06, I(2)=73.6%). Based on the subanalyses, 6 trials comparing smartphone app interventions to comparator interventions reported no significant differences in effectiveness (OR 1.03, 95% CI 0.85-1.26, P=.74, I(2)=57.1%). However, the 3 trials that evaluated the combination of smartphone interventions combined with pharmacotherapy compared to pharmacotherapy alone found higher smoking abstinence rates in the combined intervention (OR 1.79, 95% CI 1.38-2.33, P=.74, I(2)=7.4%). All SASC interventions with higher levels of adherence were significantly more effective (OR 1.48, 95% CI 1.20-1.84, P<.001, I(2)=24.5%). CONCLUSIONS: This systematic review and meta-analysis did not support the effectiveness of delivering smartphone-based interventions alone to achieve higher smoking abstinence rates. However, the efficacy of smartphone-based interventions increased when combined with pharmacotherapy-based smoking cessation approaches. TRIAL REGISTRATION: PROSPERO CRD42021267615; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=267615."
T2DM Self-Management via Smartphone Applications: A Systematic Review and Meta-Analysis,"Cui M, Wu X, Mao J, Wang X, Nie M.",PLoS One. 2016 Nov 18;11(11):e0166718. doi: 10.1371/journal.pone.0166718. eCollection 2016.,Cui M,PLoS One,2016,2016/11/19,PMC5115794,,10.1371/journal.pone.0166718,"BACKGROUND: Mobile health interventions (mHealth) based on smartphone applications (apps) are promising tools to help improve diabetes care and self-management; however, more evidence on the efficacy of mHealth in diabetes care is needed. The objective of this study was to conduct a systematic review and meta-analysis of randomized controlled trials (RCTs) assessing the effect of mHealth apps on changes in hemoglobin A1c (HbA1c), blood glucose, blood pressure, serum lipids, and body weight in type 2 diabetes mellitus (T2DM) patients. METHODS: Two independent reviewers searched three online databases (PubMed, the Cochrane Library, and EMBASE) to identify relevant studies published between January 2005 and June 2016. Of the 2,596 articles retrieved, 13 RCTs were included. We used random effects model to estimate the pooled results. RESULTS: Thirteen studies were selected for the systematic review, six of which with data available containing 1,022 patients were included for the meta-analysis. There was a moderate effect on glycemic control after the mHealth app-based interventions. The overall effect on HbA1c shown as mean difference (MD) was -0.40% (-4.37 mmol/mol) (95% confidence interval [CI] -0.69 to -0.11% [-7.54 to -1.20 mmol/mol]; p = 0.007) and standardized mean differences (SMD) was -0.40% (-4.37 mmol/mol) (95% confidence interval [CI] -0.69 to -0.10% [-7.54 to -1.09 mmol/mol]; p = 0.008). A subgroup analysis showed a similar effect with -0.33% (-3.61 mmol/mol) (95% CI -0.59 to -0.06% [-6.45 to -0.66 mmol/mol]; p = 0.02) in MD and -0.38% (-4.15 mmol/mol) (95% CI -0.71 to -0.05% [-7.76 to -0.55 mmol/mol]; p = 0.02) in SMD in studies where patients' baseline HbA1c levels were less than 8.0%. No effects of mHealth app interventions were found on blood pressure, serum lipids, or weight. Assessment of overall study quality and publication bias demonstrated a low risk of bias among the six studies. CONCLUSIONS: Smartphone apps offered moderate benefits for T2DM self-management. However, more research with valid study designs and longer follow-up is needed to evaluate the impact of mHealth apps for diabetes care and self-management."
Mobile Health Self-management Support for Spinal Cord Injury: Systematic Literature Review,"Bernard RM, Seijas V, Davis M, Volkova A, Diviani N, Lüscher J, Sabariego C.",JMIR Mhealth Uhealth. 2023 Apr 26;11:e42679. doi: 10.2196/42679.,Bernard RM,JMIR Mhealth Uhealth,2023,2023/04/26,PMC10173031,,10.2196/42679,"BACKGROUND: Self-management plays a critical role in maintaining and improving the health of persons with spinal cord injury (SCI). Despite their potential, existing mobile health (mHealth) self-management support (SMS) tools for SCI have not been comprehensively described in terms of their characteristics and approaches. It is important to have an overview of these tools to know how best to select, further develop, and improve them. OBJECTIVE: The objective of this systematic literature review was to identify mHealth SMS tools for SCI and summarize their characteristics and approaches to offering SMS. METHODS: A systematic review of the literature published between January 2010 and March 2022 was conducted across 8 bibliographic databases. The data synthesis was guided by the self-management task taxonomy by Corbin and Strauss, the self-management skill taxonomy by Lorig and Holman, and the Practical Reviews in Self-Management Support taxonomy. The PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) standards guided the reporting. RESULTS: A total of 24 publications reporting on 19 mHealth SMS tools for SCI were included. These tools were introduced from 2015 onward and used various mHealth technologies and multimedia formats to provide SMS using 9 methods identified by the Practical Reviews in Self-Management Support taxonomy (eg, social support and lifestyle advice and support). The identified tools focused on common SCI self-management areas (eg, bowel, bladder, and pain management) and overlooked areas such as sexual dysfunction problems and environmental problems, including barriers in the built environment. Most tools (12/19, 63%) unexpectedly supported a single self-management task instead of all 3 tasks (ie, medical, role, and emotional management), and emotional management tasks had very little support. All self-management skills (eg, problem-solving, decision-making, and action planning) had coverage, but a single tool addressed resource use. The identified mHealth SMS tools were similar in terms of number, introduction period, geographical distribution, and technical sophistication compared with SMS tools for other chronic conditions. CONCLUSIONS: This systematic literature review provides one of the first descriptions of mHealth SMS tools for SCI in terms of their characteristics and approaches to offering SMS. This study's findings highlight a need for increased coverage of key SMS for SCI components; adopting comparable usability, user experience, and accessibility evaluation methods; and related research to provide more detailed reporting. Future research should consider other data sources such as app stores and technology-centric bibliographic databases to complement this compilation by identifying other possibly overlooked mHealth SMS tools. A consideration of this study's findings is expected to support the selection, development, and improvement of mHealth SMS tools for SCI."
Mobile Apps and Quality of Life in Patients With Breast Cancer and Survivors: Systematic Literature Review,"Saevarsdottir SR, Gudmundsdottir SL.",J Med Internet Res. 2023 Jul 26;25:e42852. doi: 10.2196/42852.,Saevarsdottir SR,J Med Internet Res,2023,2023/07/26,PMC10416803,,10.2196/42852,"BACKGROUND: Side effects of breast cancer treatment may persist long into survivorship, reducing quality of life (QOL) in patients with breast cancer and survivors. There is growing evidence for the use of digital health technologies, such as mobile apps, to support self-management, decrease symptom burden, and improve QOL in patients with cancer. However, an updated overview of the effects of mobile apps on QOL and well-being in patients with breast cancer and survivors is needed. OBJECTIVE: The aim of this review was to provide an overview of breast cancer-specific, mobile app-driven lifestyle or behavioral interventions in patient care through to survivorship and their impact on QOL and mental well-being. METHODS: A systematic search of PubMed, Scopus, and Web of Science was conducted to identify relevant studies. The inclusion criteria were limited to original studies involving a trial of a mobile app-driven lifestyle or behavioral intervention for patients with breast cancer or survivors and using QOL or well-being measures. The results of the studies that met the inclusion criterion were then synthesized in text and table format. The quality of the evidence was assessed with the Cochrane risk-of-bias tool. RESULTS: A total of 17 studies with the number of participants ranging from 23 to 356 met the inclusion criterion. Of the 17 reviewed studies, 7 (41%) delivered an app-only intervention, and 10 (59%) combined an app with additional supporting materials, such as SMS text messaging, telecoaching, wearables, or printed materials. Among the 17 reviewed studies, 6 (35%) focused on aiding patients with breast cancer during the active treatment phase (excluding ongoing hormone therapy), whereas the remaining 11 (65%) focused on survivorship. The majority of the studies (14/17, 82%) observed some positive effects on QOL or well-being measures. CONCLUSIONS: The results of the review indicate that mobile apps are a promising avenue for improving QOL and well-being in breast cancer care. Positive effects were observed in patients undergoing active treatment in all reviewed studies, but effects were less clear after chemotherapy and in long-term survivors. Although lifestyle and behavioral digital interventions are still being developed, and further research should still be pursued, the available data suggest that current mobile health apps aid patients with breast cancer and survivors."
Mobile apps used for people living with multiple sclerosis: A scoping review,"Howard Z, Win KT, Guan V.",Mult Scler Relat Disord. 2023 May;73:104628. doi: 10.1016/j.msard.2023.104628. Epub 2023 Mar 21.,Howard Z,Mult Scler Relat Disord,2023,2023/04/01,,,10.1016/j.msard.2023.104628,"BACKGROUND: Multiple Sclerosis (MS) is a chronic neurodegenerative disorder. People living with MS (plwMS) require long-term, multidisciplinary care in both clinical and community settings. MS-specific mHealth interventions have advanced in the form of clinical treatments, rehabilitation, disease monitoring and self-management of disease. However, mHealth interventions for plwMS appear to have limited proof of clinical efficacy. As native mobile apps target specific mobile operating systems, they tend to have better interactive designs leveraging platform-specific guidelines. Thus, to improve such efficacy, it is pivotal to explore the design characteristics of native mobile apps used for plwMS. OBJECTIVES: This study aimed to explore the design characteristics of native mobile apps used for adults living with MS in academic settings. METHODS: A scoping review of studies was conducted. A literature search was performed through PubMed, CINAHL, MEDLINE and Cochrane Library. Per native mobile apps, characteristics, persuasive technology elements and evaluations were summarized. RESULTS: A total of 14 native mobile apps were identified and 43% of the identified apps were used for data collection (n=6). Approximately 70% of the included apps involved users (plwMS) whilst developing (n=10). A total of three apps utilized embedded sensors. Videos or photos were used for physical activity interventions (n=2) and gamification principles were applied for cognitive and/or motor rehabilitation interventions (n=3). Behavior change theories were integrated into the design of the apps for fatigue management and physical activity. Regarding persuasive technology, the design principles of primary support were applied across all identified apps. The elements of dialogue support and social support were the least applied. The methods for evaluating the identified apps were varied. CONCLUSION: The findings suggest that the identified apps were in the early stages of development and had a user-centered design. By applying the persuasive systems design model, interaction design qualities and features of the identified mobile apps in academic settings were systematically evaluated at a deeper level. Identifying the digital functionality and interface design of mobile apps for plwMS will help researchers to better understand interactive design and how to incorporate these concepts in mHealth interventions for improvement of clinical efficacy."
