key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-28719044,"Mobile services provide value by decoupling the time and location constraints in healthcare delivery - INTERNATIONAL CONFERENCE ON EHEALTH, TELEMEDICINE, AND SOCIAL MEDICINE: ETELEMED 2009, PROCEEDINGS",2009,,,nan,nan,,,216-219,"Ilvonen, Karita and Groop, Johan and Lillrank, Paul",,English,IEEE COMPUTER SOC,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA","Mobile healthcare services exist to improve outcomes, but they have the potential to improve output of service provision as well. Operations management research on remote and mobile healthcare interventions tends to focus solely on output efficiency and leaving the questions of output-outcome relations to clinical medicine. However, with preventive interventions output-outcome relation plays a critical role in defining life-cycle long costs, outcomes and production effects of the technological intervention. Healthcare operations management can offer a valuable framework for better understanding remote mobile service systems and their effects. In this paper we explore different types of efficiency implications using mobile phone based solutions as an interesting example. We discuss time and location constraints of traditional service provision and how mobile services can impact them. We conclude by defining a new approach to studying mobile interventions from an operations management perspective.","International Conference on eHealth, Telemedicine and Social Medicine, Cancun, MEXICO, FEB 01-07, 2009",,nan,,
rayyan-28719054,Personalized Adherence Activity Recognition via Model-driven Sensor Data Assessment - QUALITY OF LIFE THROUGH QUALITY OF INFORMATION,2012,,,nan,0926-9630,180,,1050-1054,"Hsiao, Mark and Hsueh, Pei-yun and Ramakrishnan, Sreeram",,English,IOS PRESS,"NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS","Creation of a personalized adherence feedback loop is crucial for initiating and sustaining health behavior change. However, self reports are not sufficient to measure actual adherence. Recording and recognizing personal activities in a ubiquitous environment has thus emerged as a promising solution. In this work, we present a model-driven sensor data assessment mechanism capable of identifying high level adherence-related activity patterns from low level signals. The proposed intelligent sensing algorithm can learn from a population-based training data set and adapt quickly to an individual's exercise patterns using the acquired personal data. Upon the recognition of each activity, the system can further provide personalized feedback such as exercise coaching, fitness planning, and abnormal event detection. The resulted system demonstrates the feasibility of a portable real-time personalized adherence feedback system that could be used for advanced healthcare services.","24th Medical Informatics in Europe Conference (MIE), Pisa, ITALY, AUG 26-29, 2012",10.3233/978-1-61499-101-4-1050,Personalization; activity adherence; intelligent sensing; fitness planning; abnormal event detection,,
rayyan-28719058,Usefulness of Feedback in e-Learning From the Students' Perspective - PROCEEDINGS OF THE 12TH EUROPEAN CONFERENCE ON E-LEARNING (ECEL 2013),2013,,,nan,2048-8637,,,283-292,"Martinez-Argueelles, Maria-Jesus and Plana-Erta, Dolors and Hintzmann-Colominas, Carolina and Badia-Miro, Marc and Batalla-Busquets, Josep-Maria",,English,ACAD  CONFERENCES LTD,"CURTIS FARM, KIDMORE END, NR READING, RG4 9AY, ENGLAND","Functionality of feedback in pedagogical processes has been broadly analyzed in face-to-face learning, although to a lesser extent than in on-line learning. Narciss (2004, 2008) distinguishes two dimensions within the feedback, the semantic dimension and the structural dimension. This article aims to analyze, from the student's perspective, the semantic dimension of feedback in a virtual learning environment (VLE). Firstly, importance that VLE students give to feedback and its degree of personalization is analyzed. Later, the object of analysis is usefulness that students deem feedback should have, paying special attention to each of its semantic sub-dimensions (Narciss, 2004). A survey was conducted among students of Business Administration degree of the Universitat Oberta de Catalunya (UOC). 182 students took part, divided into two groups (pilot and control). It was proved that 90\% of students give great or very great importance to reception of feedback from their tutors, a relevance they consider to be higher than the one in a face-toface environment. This percentage is around 75\% with regard to importance given to the level of personalization of feedback. The development of a factor analysis has revealed that usefulness of personalized feedback perceived by the students can be subsumed under two large dimensions: the one that makes learning (related to its semantic dimension) easier and the motivational one (by allowing an easier and more fluid communication with the tutor, contributing not to leave the course, etc.) The latter dimension has also proved to be key in order to attain improvements in the students' satisfaction with the learning process. This research was funded by the Catalan government and the UOC, within the framework of projects to Improve Teaching Quality (ITQ).","12th European Conference e-Learning (ECEL), SKEMA Business School, Sophia Antipolis, FRANCE, OCT 30-31, 2013",,feedback; VLE; students; semantic dimension; motivations; satisfaction,,
rayyan-28719065,Disseminating cardiovascular disease risk assessment with a PAHO mobile app: a public eHealth intervention - nan,2015,7,,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,1020-4989,38,1,82-85,"Ordunez, Pedro and Tajer, Carlos",,English,PAN AMER HEALTH ORGANIZATION,"525 23RD ST NW, WASHINGTON, DC 20037 USA","Cardiovascular diseases are the leading cause of death in the Region of the Americas, making cardiovascular risk assessment a critical component of the clinical decision-making process. This process is facilitated by the use of appropriate tools. This article presents the technical characteristics of an application (app) developed by the Pan American Health Organization/World Health Organization (PAHO/WHO) for mobile devices and computers. Called the Cardiovascular Risk Calculator, it is based on WHO risk tables and applied to the countries of the Region. The article details the epidemiological basis of the diagram for predicting cardiovascular risk and describes the app and its four modules, its main audiences, its production process, and finally, the initial results and some of the challenges. Four months after its launch, the application was being used daily by more than 12 000 users and had been downloaded in virtually all the countries of the Region. The app can be used in by physicians, nurses, and other technical personnel in their daily practice, especially at the primary care level. Since it can also be used by the general public, special attention was paid to its design and tutorial and to ensuring that the clinical estimates and recommendations were easy to understand. This type of app facilitates communication between health care providers and users, and its systematic use in the health services, especially in primary care services, should be promoted.",nan,,Cardiovascular diseases; primary health care; risk management; technology assessment; biomedical; Americas,,
rayyan-28719080,The Efficacy of Internet-based Intervention on Quality of Life for Patients with Chronic Post-surgical Pain - nan,2016,12,,IRANIAN JOURNAL OF PUBLIC HEALTH,2251-6085,45,12,1604-1609,"Li, Min and Zhang, Miao and Wang, Heng and Pan, Xuefeng and Wu, Wenbin and Zhang, Qi and Liu, Yun and Zhang, Hui",,English,IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOMOLOGY,"SCHOOL PUBLIC HEALTH \& INST HEALTH RESEARCH, TEHRAN UNIV MEDICAL SCIENCES, P O BOX  6446-14155, TEHRAN, 00000, IRAN","Background: The objective of the present study was to explore the efficacy of internet-based intervention on quality of life of patients with chronic post-surgical pain (CPSP). Methods: A retrospective analysis was performed on 81 patients diagnosed with CPSP after radical resection for lung cancer between January 2013 and July 2014. They were enrolled either as part of the conventional care group which included 40 cases or the internet-based pain intervention group which included 41 cases. The patients in the conventional care group were treated weekly in the outpatient clinic, while patients in internet-based group were treated via smartphone or the internet. The 36-Item Short Form Health Survey (SF-36) was utilized to assess the quality of life of patients who were suffering from CPSP, 1 month and 3 months after therapy. Results: The patients in the internet-based pain intervention group demonstrated similar health-related qualities of life and overall satisfaction rates compared with the conventional care group (P>0.05). Conclusion: Internet-based pain management is a suitable option to improve the quality of life of patients with CPSP after radical resection for lung cancer.",nan,,Internet-based pain intervention; Chronic post-surgical pain; Quality of life,,
rayyan-28719187,An alternative goal-setting technique for addictive behaviour interventions: The Chronos Approach - nan,2020,,,CLINICAL PSYCHOLOGIST,1328-4207,,,nan,"Staiger, Petra K. and Liknaitzky, Paul",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Psychological interventions for addictive behaviours (i.e., alcohol, smoking, gambling) typically focus on reducing the frequency of that target behaviour. Individuals generally set a ``count goal{''} and then monitor the frequency of these behaviours via a process of counting/recording (i.e., number of alcoholic drinks, number of dollars gambled). We argue that this approach, although a key feature of interventions, presents a range of challenges, including: confusion regarding what constitutes a count; remembering to keep count; and remembering to stop at a certain count. We argue that these inherent features of ``count goals{''} may serve to undermine treatment effectiveness for addictive behaviours and potentially other behaviour change interventions. Furthermore, given counting of specific behaviours occurs frequently within digital interventions (e.g., steps, cigarettes, drinks), these issues may be further exacerbated within mHealth (interventions delivered through mobile digital devices). In this article, we offer an alternative to setting ``count goals{''} as part of a behavioural intervention. This approach directly limits a problem behaviour by constraining the time period, and rate of that behaviour, with no requirement to count or record the frequency of the behaviour-we refer to this as the ``Chronos Approach.{''} We suggest that this approach lends itself particularly well to mHealth interventions, whereby daily reminders and timed alerts can be easily programmed into a smartphone. We discuss the advantages of this method and illustrate how it can be effectively incorporated into mHealth behaviour interventions, providing a specific example of an alcohol reduction smartphone app wherein the Chronos Approach has been implemented.",nan,10.1111/cp.12226,addictive behaviours; alcohol problems; Chronos Approach; digital health; goal-setting; interventions; smartphone; time-based goals,,
rayyan-28719190,Don't Go There: A Zero-Permission Geofencing App to Alleviate Gambling Disorders - 2020 IEEE 17TH ANNUAL CONSUMER COMMUNICATIONS \& NETWORKING CONFERENCE (CCNC 2020),2020,,,nan,2331-9852,,,nan,"Coral, Roberto and Esposito, Ravi and Weinstock, Jeremiah",,English,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA","Current efforts to address and alleviate the suffering and harms associated with gambling disorder (GD) predominately involve in-person psychotherapy or static web-based interventions, while dynamic, proactive approaches to the treatment of GD are needed. Currently, several medical health (mHealth) apps for GD exist, but none are empirically validated and, even though they could be potentially useful, these interventions are static, reactive approaches and they are not based on the geo-fencing principle. Advances in smartphone technology now allow for a paradigm shift. Just-in-time adaptive interventions (JITAI) are technology-based dynamic interventions that proactively respond to time-varying information to provide intervention at critical moments. In this paper, a novel JITAI mHealth app for GD called ``Don't Go There{''} (DGT) is presented. It capitalizes on smartphones' global positioning software (GPS) or other zero-permission embedded sensors to recognizes a user's location. When the patient turns off the GPS capabilities, we infer the geolocation solving a probabilistic route matching problem. The purpose of DGT is to construct a geofence around a gambler's favored gambling establishment, to discourage participation. We hypothesize that the deployment of this app could lead to a reduction in gambling behavior and problems and improve psychological functioning.","IEEE 17th Annual Consumer Communications and Networking Conference (CCNC), Las Vegas, NV, JAN 10-13, 2020",,localization; GPS; geofence; mobile sensors; mHealth,,
rayyan-28719249,Multi-Modal Methodology for Adapting Digital Health Tools to New Populations: Adaptation of the Video Information Provider (VIP) for Persons Living with HIV with HIV-Associated Non-AIDS (HANA) Conditions - MEDINFO 2019: HEALTH AND WELLBEING E-NETWORKS FOR ALL,2019,,,nan,0926-9630,264,,1347-1351,"Schnall, Rebecca and Liu, Jianfang and Mohr, David C. and Bakken, Suzanne and Hirshfield, Sabina and Siegel, Karolynn and Stonbraker, Samantha and Cho, Hwayoung and Iribarren, Sarah and Voss, Joachim",,English,IOS PRESS,"NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS","The goal of this study was to illustrate the translation of our extant eHealth intervention (VIP) into an mHealth app for persons living with HIV (PLWH) with HIV-Associated non-AIDS (HANA) conditions, a new clinical problem. We integrated different quantitative and qualitative methodologies from different disciplines to accomplish the task of adapting an eHealth system for a new set of clinical problems. Building off of our past development of the VIP website, we used a multi-modal, iterative user-centered design process to develop the VIP-HANA app. Our process was used to better understand the needs of a national sample of PLWH recruited online. Findings from the usability evaluation demonstrate a potentially useful and easy to use app. Integration of multi-modal methodologies from different fields to accomplish the tasks of adaptation and evaluation of a mobile app is an appealing, rigorous and useful approach.","17th World Congress of Medical and Health Informatics (MEDINFO), Int Med Informat Assoc, Lyon, FRANCE, AUG 25-30, 2019",10.3233/shtii90446,HIV; Mobile Applications; Symptoms,,
rayyan-28719251,"Rationale, Theoretical Underpinnings, and Design of HEAR-aware: Providing Adults With Hearing Loss With Tailored Support to Self-Manage Their Hearing Problems via a Smartphone App, as an Alternative to Hearing Aids - nan",2020,9,,AMERICAN JOURNAL OF AUDIOLOGY,1059-0889,29,3,648-660,"Pronk, Marieke and Besser, Jana and Smits, Cas and Feenstra-Kikken, Vanessa and van Beek, Hans and Polleunis, Conny and Kramer, Sophia E.",,English,AMER SPEECH-LANGUAGE-HEARING ASSOC,"2200 RESEARCH BLVD, \#271, ROCKVILLE, MD 20850-3289 USA","Purpose: An alarming two thirds of adults aged 50 years or over with hearing impairment who could benefit from hearing aids do not own any, leaving these adults with no support to self-manage their hearing problems. In the HEAR-aware project, it is hypothesized that self-management can be facilitated via a smartphone app if its educational content is tailored to a person's dynamic stage of readiness to take action on their hearing (stage of change) and to a person's dynamic acoustical situations (as measured via a wearable microphone) and associated challenges (as captured via ecological momentary assessment). As such, the HEAR-aware app would be an ecological momentary intervention. This research note describes the rationale and theoretical underpinnings of the app, as well as therationale for planning a series of studies to develop and evaluate it. Study Designs: After a preparatory phase, Study 1 includes qualitative group interviews to assess user needs. Next, a creative session will be held, in which all stakeholders involved will work toward a specified version of the app. Subsequently, prototypes of the app will be developed and pilot-tested (Pilot Studies 2A and 2B). Users' usage and ratings (usability and quality indicators) of the app's elements will be examined and processed in the app. Lastly, the effectiveness of the app's final version will be examined in a randomized controlled trial (Study 3). Discussion: The project's merits and challenges will be discussed.",nan,10.1044/2020,nan,,
rayyan-28719257,Exploring Pasifika wellbeing: findings from a large cluster randomised controlled trial of a mobile health intervention programme - nan,2020,10,,NEW ZEALAND MEDICAL JOURNAL,0028-8446,133,1524,82-101,"Firestone, Ridvan and Cheng, Soo and Dalhousie, Sally and Hughes, Emily and Funaki, Tevita and Henry, Akarere and Vano, Mereaumate and Grey, Jacqui and Schumacher, Jodie and Jull, Andrew and Whittaker, Robyn and Te Morenga, Lisa and Mhurchu, Cliona Ni",,English,NEW ZEALAND MEDICAL ASSOC,"C/O BRENNAN EDWARDES, DEPT SURGERY, CHRISTCHURCH HOSPITAL, PO BOX 4345, CHRISTCHURCH, 00000, NEW ZEALAND","AIM: The primary objective of this study was to determine the effect of a mobile health (mHealth) intervention on the wellbeing of Pasifika peoples, and to explore factors associated with Pasifika wellbeing. METHODS: The OL@-OR@ mHealth programme was a co-designed smartphone app. Culturally relevant data was collected to examine holistic health and wellbeing status, at baseline, and at 12 weeks (end of the trial). The concept of wellbeing was examined as part of a two-arm, cluster randomised trial, using only the Pasifika data: 389 (of 726) Pasifika adults were randomised to receive the mHealth intervention, while 405 (of 725) Pasifika adults were randomised to receive a control version of the intervention. Culturally relevant data was collected to examine holistic health and wellbeing status, at baseline, and at 12 weeks (end of the trial). The intervention effects and the association of demographic and behavioural relationships with wellbeing, was examined using logistic regression analyses. RESULTS: Relative to baseline, there were significant differences between the intervention and control groups for the `family/community' wellbeing, at the end of the 12-week trial. There were no significant differences observed for all other wellbeing domains for both groups. Based on our multivariate regression analyses, education and acculturation (assimilation and marginalisation) were identified as positively strong factors associated to Pasifika `family and community' wellbeing. CONCLUSION: Our study provides new insights on how Pasifika peoples' characteristics and behaviours align to wellbeing. Our findings point to `family and community' as being the most important wellbeing factor for Pasifika peoples.",nan,,nan,,
