PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31678305","Mobile Health Technologies in Cardiopulmonary Disease","MacKinnon GE, Brittain EL.","Chest. 2020 Mar;157(3):654-664. doi: 10.1016/j.chest.2019.10.015. Epub 2019 Oct 31.","MacKinnon GE","Chest","2020","2019/11/04","PMC7078586","","10.1016/j.chest.2019.10.015"
"33074161","The Effect of Smartphone App-Based Interventions for Patients With Hypertension: Systematic Review and Meta-Analysis","Xu H, Long H.","JMIR Mhealth Uhealth. 2020 Oct 19;8(10):e21759. doi: 10.2196/21759.","Xu H","JMIR Mhealth Uhealth","2020","2020/10/19","PMC7605981","","10.2196/21759"
"35612886","Factors Influencing Adherence to mHealth Apps for Prevention or Management of Noncommunicable Diseases: Systematic Review","Jakob R, Harperink S, Rudolf AM, Fleisch E, Haug S, Mair JL, Salamanca-Sanabria A, Kowatsch T.","J Med Internet Res. 2022 May 25;24(5):e35371. doi: 10.2196/35371.","Jakob R","J Med Internet Res","2022","2022/05/25","PMC9178451","","10.2196/35371"
"33124984","Effects of a Mobile and Web App (Thought Spot) on Mental Health Help-Seeking Among College and University Students: Randomized Controlled Trial","Wiljer D, Shi J, Lo B, Sanches M, Hollenberg E, Johnson A, Abi-Jaoudé A, Chaim G, Cleverley K, Henderson J, Isaranuwatchai W, Levinson A, Robb J, Wong HW, Voineskos A.","J Med Internet Res. 2020 Oct 30;22(10):e20790. doi: 10.2196/20790.","Wiljer D","J Med Internet Res","2020","2020/10/30","PMC7665949","","10.2196/20790"
"30431384","Specific hypertension smartphone application to improve medication adherence in hypertension: a cluster-randomized trial","Márquez Contreras E, Márquez Rivero S, Rodríguez García E, López-García-Ramos L, Carlos Pastoriza Vilas J, Baldonedo Suárez A, Gracia Diez C, Gil Guillén V, Martell Claros N; Compliance Group of Spanish Society of Hypertension (SEH-LELHA).","Curr Med Res Opin. 2019 Jan;35(1):167-173. doi: 10.1080/03007995.2018.1549026. Epub 2018 Dec 5.","Márquez Contreras E","Curr Med Res Opin","2019","2018/11/16","","","10.1080/03007995.2018.1549026"
"33704075","Effectiveness of a Smartphone App to Promote Healthy Weight Gain, Diet, and Physical Activity During Pregnancy (HealthyMoms): Randomized Controlled Trial","Sandborg J, Söderström E, Henriksson P, Bendtsen M, Henström M, Leppänen MH, Maddison R, Migueles JH, Blomberg M, Löf M.","JMIR Mhealth Uhealth. 2021 Mar 11;9(3):e26091. doi: 10.2196/26091.","Sandborg J","JMIR Mhealth Uhealth","2021","2021/03/11","PMC7995071","","10.2196/26091"
"30907929","Effect of Wearable Digital Intervention for Improving Socialization in Children With Autism Spectrum Disorder: A Randomized Clinical Trial","Voss C, Schwartz J, Daniels J, Kline A, Haber N, Washington P, Tariq Q, Robinson TN, Desai M, Phillips JM, Feinstein C, Winograd T, Wall DP.","JAMA Pediatr. 2019 May 1;173(5):446-454. doi: 10.1001/jamapediatrics.2019.0285.","Voss C","JAMA Pediatr","2019","2019/03/26","PMC6503634","","10.1001/jamapediatrics.2019.0285"
"32432695","Coached Mobile App Platform for the Treatment of Depression and Anxiety Among Primary Care Patients: A Randomized Clinical Trial","Graham AK, Greene CJ, Kwasny MJ, Kaiser SM, Lieponis P, Powell T, Mohr DC.","JAMA Psychiatry. 2020 Sep 1;77(9):906-914. doi: 10.1001/jamapsychiatry.2020.1011.","Graham AK","JAMA Psychiatry","2020","2020/05/21","PMC7240649","","10.1001/jamapsychiatry.2020.1011"
"37368465","Effect of a Mobile App-Based Urinary Incontinence Self-Management Intervention Among Pregnant Women in China: Pragmatic Randomized Controlled Trial","Chen L, Zhang D, Li T, Liu S, Hua J, Cai W.","J Med Internet Res. 2023 Jun 27;25:e43528. doi: 10.2196/43528.","Chen L","J Med Internet Res","2023","2023/06/27","PMC10337423","","10.2196/43528"
"32780023","Effects of a Brief Electronic Mindfulness-Based Intervention on Relieving Prenatal Depression and Anxiety in Hospitalized High-Risk Pregnant Women: Exploratory Pilot Study","Goetz M, Schiele C, Müller M, Matthies LM, Deutsch TM, Spano C, Graf J, Zipfel S, Bauer A, Brucker SY, Wallwiener M, Wallwiener S.","J Med Internet Res. 2020 Aug 11;22(8):e17593. doi: 10.2196/17593.","Goetz M","J Med Internet Res","2020","2020/08/12","PMC7448174","","10.2196/17593"
"32490838","The Use of a Smartphone App and an Activity Tracker to Promote Physical Activity in the Management of Chronic Obstructive Pulmonary Disease: Randomized Controlled Feasibility Study","Bentley CL, Powell L, Potter S, Parker J, Mountain GA, Bartlett YK, Farwer J, O'Connor C, Burns J, Cresswell RL, Dunn HD, Hawley MS.","JMIR Mhealth Uhealth. 2020 Jun 3;8(6):e16203. doi: 10.2196/16203.","Bentley CL","JMIR Mhealth Uhealth","2020","2020/06/04","PMC7301262","","10.2196/16203"
"36828606","Effectiveness, reach, uptake, and feasibility of digital health interventions for adults with type 2 diabetes: a systematic review and meta-analysis of randomised controlled trials","Moschonis G, Siopis G, Jung J, Eweka E, Willems R, Kwasnicka D, Asare BY, Kodithuwakku V, Verhaeghe N, Vedanthan R, Annemans L, Oldenburg B, Manios Y; DigiCare4You Consortium.","Lancet Digit Health. 2023 Mar;5(3):e125-e143. doi: 10.1016/S2589-7500(22)00233-3.","Moschonis G","Lancet Digit Health","2023","2023/02/24","","","10.1016/S2589-7500(22)00233-3"
"34948774","Digital Intervention for Problematic Smartphone Use","Kent S, Masterson C, Ali R, Parsons CE, Bewick BM.","Int J Environ Res Public Health. 2021 Dec 14;18(24):13165. doi: 10.3390/ijerph182413165.","Kent S","Int J Environ Res Public Health","2021","2021/12/24","PMC8701454","","10.3390/ijerph182413165"
"33813523","Mobile Health Approaches to Breastfeeding","Lewkowitz AK, Cahill AG.","Clin Obstet Gynecol. 2021 Jun 1;64(2):384-391. doi: 10.1097/GRF.0000000000000606.","Lewkowitz AK","Clin Obstet Gynecol","2021","2021/04/04","","","10.1097/GRF.0000000000000606"
"36242786","Smartphone-based mobility metrics capture daily social motivation and behavior in schizophrenia","Mow JL, Gard DE, Mueser KT, Mote J, Gill K, Leung L, Kangarloo T, Fulford D.","Schizophr Res. 2022 Dec;250:13-21. doi: 10.1016/j.schres.2022.09.025. Epub 2022 Oct 12.","Mow JL","Schizophr Res","2022","2022/10/15","PMC10372850","NIHMS1912631","10.1016/j.schres.2022.09.025"
"35867325","Promoting Daily Well-being in Adolescents using mHealth","Mens MMJ, Keijsers L, Dietvorst E, Koval S, Legerstee JS, Hillegers MHJ.","J Youth Adolesc. 2022 Nov;51(11):2173-2189. doi: 10.1007/s10964-022-01656-8. Epub 2022 Jul 22.","Mens MMJ","J Youth Adolesc","2022","2022/07/22","PMC9306228","","10.1007/s10964-022-01656-8"
"27766532","eHealth Intervention for Problematic Internet Use (PIU)","Lam LT, Lam MK.","Curr Psychiatry Rep. 2016 Dec;18(12):107. doi: 10.1007/s11920-016-0747-5.","Lam LT","Curr Psychiatry Rep","2016","2016/10/22","","","10.1007/s11920-016-0747-5"
"38055318","Mobile Technology-Based Interventions for Stroke Self-Management Support: Scoping Review","Thompson AN, Dawson DR, Legasto-Mulvale JM, Chandran N, Tanchip C, Niemczyk V, Rashkovan J, Jeyakumar S, Wang RH, Cameron JI, Nalder E.","JMIR Mhealth Uhealth. 2023 Dec 6;11:e46558. doi: 10.2196/46558.","Thompson AN","JMIR Mhealth Uhealth","2023","2023/12/06","PMC10733834","","10.2196/46558"
"36355640","An app-based just-in-time-adaptive self-management intervention for care partners: The CareQOL feasibility pilot study","Carlozzi NE, Choi SW, Wu Z, Troost JP, Lyden AK, Miner JA, Graves CM, Wang J, Yan X, Sen S.","Rehabil Psychol. 2022 Nov;67(4):497-512. doi: 10.1037/rep0000472.","Carlozzi NE","Rehabil Psychol","2022","2022/11/10","PMC10157671","NIHMS1889526","10.1037/rep0000472"
"30496527","Recurrent Neural Networks in Mobile Sampling and Intervention","Koppe G, Guloksuz S, Reininghaus U, Durstewitz D.","Schizophr Bull. 2019 Mar 7;45(2):272-276. doi: 10.1093/schbul/sby171.","Koppe G","Schizophr Bull","2019","2018/11/30","PMC6403085","","10.1093/schbul/sby171"
"33705457","Ecological momentary interventions for mental health: A scoping review","Balaskas A, Schueller SM, Cox AL, Doherty G.","PLoS One. 2021 Mar 11;16(3):e0248152. doi: 10.1371/journal.pone.0248152. eCollection 2021.","Balaskas A","PLoS One","2021","2021/03/11","PMC7951936","","10.1371/journal.pone.0248152"
"37079352","The Effectiveness of Smartphone App-Based Interventions for Assisting Smoking Cessation: Systematic Review and Meta-analysis","Guo YQ, Chen Y, Dabbs AD, Wu Y.","J Med Internet Res. 2023 Apr 20;25:e43242. doi: 10.2196/43242.","Guo YQ","J Med Internet Res","2023","2023/04/20","PMC10160935","","10.2196/43242"
"31306248","Treatment delivery strategies for eating disorders","Machado PPP, Rodrigues TF.","Curr Opin Psychiatry. 2019 Nov;32(6):498-503. doi: 10.1097/YCO.0000000000000542.","Machado PPP","Curr Opin Psychiatry","2019","2019/07/16","","","10.1097/YCO.0000000000000542"
"38766361","Real-time personalized feedback in mHealth for adolescents","Dietvorst E, Hillegers MH, Legerstee JS, Vries LP, Vreeker A, Keijsers L.","Digit Health. 2024 May 15;10:20552076241247937. doi: 10.1177/20552076241247937. eCollection 2024 Jan-Dec.","Dietvorst E","Digit Health","2024","2024/05/20","PMC11100393","","10.1177/20552076241247937"
"32238923","eHealth in kidney care","Wang CS, Ku E.","Nat Rev Nephrol. 2020 Jul;16(7):368-370. doi: 10.1038/s41581-020-0271-z.","Wang CS","Nat Rev Nephrol","2020","2020/04/03","PMC7110432","","10.1038/s41581-020-0271-z"
"35878440","Comprehensive overview of smartphone applications delivering child nutrition information","Srivastava R, Kushwaha S, Khanna P, Gupta M, Bharti B, Jain R.","Nutrition. 2022 Nov-Dec;103-104:111773. doi: 10.1016/j.nut.2022.111773. Epub 2022 Jun 17.","Srivastava R","Nutrition","2022","2022/07/25","","","10.1016/j.nut.2022.111773"
"27861583","T2DM Self-Management via Smartphone Applications: A Systematic Review and Meta-Analysis","Cui M, Wu X, Mao J, Wang X, Nie M.","PLoS One. 2016 Nov 18;11(11):e0166718. doi: 10.1371/journal.pone.0166718. eCollection 2016.","Cui M","PLoS One","2016","2016/11/19","PMC5115794","","10.1371/journal.pone.0166718"
"37099372","Mobile Health Self-management Support for Spinal Cord Injury: Systematic Literature Review","Bernard RM, Seijas V, Davis M, Volkova A, Diviani N, Lüscher J, Sabariego C.","JMIR Mhealth Uhealth. 2023 Apr 26;11:e42679. doi: 10.2196/42679.","Bernard RM","JMIR Mhealth Uhealth","2023","2023/04/26","PMC10173031","","10.2196/42679"
"34228998","Ambulatory assessment for precision psychiatry: Foundations, current developments and future avenues","Reichert M, Gan G, Renz M, Braun U, Brüßler S, Timm I, Ma R, Berhe O, Benedyk A, Moldavski A, Schweiger JI, Hennig O, Zidda F, Heim C, Banaschewski T, Tost H, Ebner-Priemer UW, Meyer-Lindenberg A.","Exp Neurol. 2021 Nov;345:113807. doi: 10.1016/j.expneurol.2021.113807. Epub 2021 Jul 3.","Reichert M","Exp Neurol","2021","2021/07/06","","","10.1016/j.expneurol.2021.113807"
"37494111","Mobile Apps and Quality of Life in Patients With Breast Cancer and Survivors: Systematic Literature Review","Saevarsdottir SR, Gudmundsdottir SL.","J Med Internet Res. 2023 Jul 26;25:e42852. doi: 10.2196/42852.","Saevarsdottir SR","J Med Internet Res","2023","2023/07/26","PMC10416803","","10.2196/42852"
