Zeitstempel,What is the app called?,What year was this paper published?,Is the software a generic tool or a domain specific app?,Which OSs does the application support?,Which devices does the application support?,Is the code available somewhere publicly?,What data collection techniques are employed in-app?,What EMA sampling strategy is being employed?,Which notifications does the software use?,What domain is the intervention being done for?,What static intervention content is being delivered to the user?,What dynamic intervention content is being delivered to the user?,What JITAI components are being used in the interventions?,Which AI technologies are being used?,What is the title of this paper?,Did the intervention according to the authors have benefits that are statistically relevant?,How does the publication explain the code or system?,Notes
11.07.2024 20:19:56,HealthyMoms,2021,specific app,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,"physical activity, dietary habits, diabetes, cardio-vascular problems",educational material,personalized messages/feedback,,,"Effectiveness of a Smartphone App to Promote Healthy Weight Gain, Diet, and Physical Activity During Pregnancy (HealthyMoms): Randomized Controlled Trial",yes,"screenshots, external links or papers","Paper explaining the building process of the app was removed due to being a trial protocol, Benefit was not for main goal but for secondary ones, domain is: glycemia"
11.07.2024 20:32:19,ImproveYourMood+,2021,specific app,unknown,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, general mental health","educational material, listening to audio, exercises",context-aware prompts/notifications,triggers,,Exploring the features of an app-based just-in-time intervention for depression,yes,,Shows off three apps: MoodTracker (monitoring only) ImproveYourMood (monitoring + content) ImproveYourMood+ (monitoring + content + prompts)
11.07.2024 20:42:30,EDGE digital health system,2017,specific app,Android,Tablet,private,"questionnaire, other sensing, external hardware sensing",event-contingent,,COPD,educational material,"personalized messages/feedback, alerting others, alert=health practitioners",,,Digital health system for personalised COPD long-term management,yes,diagrams,uses wireless pulse oximeter in EMA sensing
11.07.2024 20:49:39,not named,2015,specific app,"cross-platform, iOS, Android",Smartphone,private,questionnaire,signal-contingent,in-app notifications,"physical activity, dietary habits","educational material, reminders",personalized messages/feedback,,,Feasibility of Smartphone-Based Education Modules and Ecological Momentary Assessment/Intervention in Pre-bariatric Surgery Patients,yes,,
11.07.2024 20:55:38,Smart-T,2020,specific app,Android,Smartphone,private,"diary, questionnaire","event-contingent, signal-contingent",in-app notifications,"addiction cessation, smoking","educational material, reminders","personalized messages/feedback, context-aware prompts/notifications",,,A Mobile Just-in-Time Adaptive Intervention for Smoking Cessation: Pilot Randomized Controlled Trial,,"screenshots, external links or papers",Names QuitGuide and SmartQuit apps in introduction
12.07.2024 14:10:10,SMARTFAMILY,2024,specific app,Android,Smartphone,private,"questionnaire, other sensing, external hardware sensing","event-contingent, signal-contingent, continuous",in-app notifications,"physical activity, dietary habits",reminders,personalized messages/feedback,,,An mHealth Intervention Promoting Physical Activity and Healthy Eating in a Family Setting (SMARTFAMILY): Randomized Controlled Trial,no,external links or papers,"talks about how findings could be used for JITAI, hip-worn accelerometer used in EMA sensing"
12.07.2024 14:19:50,not named,2018,specific app,"cross-platform, iOS, Android",Smartphone,private,questionnaire,"event-contingent, signal-contingent",device notifications,general mental health,educational material,personalized messages/feedback,adaptible intervention content,,Tailoring Acceptance and Commitment Therapy Skill Coaching In-The-Moment Through Smartphones: Results from a Randomized Controlled Trial,yes,diagrams,prompts for data collection given by phone text message
12.07.2024 14:25:27,AwarNS,2023,generic tool/framework,Android,Smartphone,open-source,questionnaire,"event-contingent, signal-contingent, continuous",in-app notifications,,,context-aware prompts/notifications,triggers,,AwarNS: A framework for developing context-aware reactive mobile applications for health and mental health,,"diagrams, external links or papers","AwarNS is a modular sensing framework that can be used to create EMA apps with EMI features. Depending on own design even JITAI features can be implemented, written in NativeScript but not available for iOS due to iOS restrictions"
12.07.2024 14:35:26,MiSARA,2021,specific app,iOS,Smartphone,private,"questionnaire, app or device usage sensing","event-contingent, signal-contingent",in-app notifications,addiction cessation,,personalized messages/feedback,adaptible intervention content,,Developing an Adaptive Mobile Intervention to Address Risky Substance Use Among Adolescents and Emerging Adults: Usability Study,yes,"screenshots, external links or papers","newer version of the SARA app, did not have enough funding for Android version, usage data of in-app tasks such as tapping-speed or ability to retrace symbols is assessed in EMA"
12.07.2024 14:43:41,"GamblingLess: Curb Your Urge, MetricWire",2021,specific app,"cross-platform, iOS, Android",Smartphone,"private, commercial software",questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, gambling",,,adaptible intervention content,,A Smartphone-Delivered Ecological Momentary Intervention for Problem Gambling (GamblingLess: Curb Your Urge): Single-Arm Acceptability and Feasibility Trial,yes,external links or papers,intervention was delivered using MetricWire which provides native Android and iOS apps that can be used to collect data from and deliver data to users for researchers
12.07.2024 14:48:37,Drinks:Ration,2022,specific app,"cross-platform, iOS, Android",Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, alcohol",educational material,"personalized messages/feedback, context-aware prompts/notifications",,,Evaluating the Efficacy of the Drinks:Ration Mobile App to Reduce Alcohol Consumption in a Help-Seeking Military Veteran Population: Randomized Controlled Trial,yes,screenshots,
12.07.2024 14:53:06,schema,2020,generic tool/framework,cross-platform,Smartphone,"open-source, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,no specific domain,,,,,"schema: an open-source, distributed mobile platform for deploying mHealth research tools and interventions",,"screenshots, external links or papers","open-source framework for mHealth interventions that make use of EMA that also allows EMI delivery, written in Angular, in EMA sensor-support was being considered on release"
12.07.2024 14:58:48,mindLAMP,2022,generic tool/framework,,Smartphone,"open-source, downloadable binaries","diary, questionnaire, other sensing, app or device usage sensing","event-contingent, signal-contingent, continuous",in-app notifications,no specific domain,reminders,context-aware prompts/notifications,triggers,,Enabling Research and Clinical Use of Patient-Generated Health Data (the mindLAMP Platform): Digital Phenotyping Study,,"screenshots, diagrams, external links or papers","in EMA data from cognitive tests given as tasks are assessed, this paper was just an update on the mindLAMP version"
12.07.2024 15:05:22,LifeData,2022,specific app,"cross-platform, iOS, Android",Smartphone,"private, commercial software",questionnaire,signal-contingent,in-app notifications,"mood tracking, general mental health",exercises,,,,An ecological momentary intervention study of emotional responses to smartphone-prompted CBT skills practice and the relationship to clinical outcomes,no,external links or papers,intervention was delivered using the LifeData app for EMA and EMI delivery
12.07.2024 18:10:34,OnTrack,2018,specific app,iOS,Smartphone,private,questionnaire,signal-contingent,in-app notifications,dietary habits,educational material,"personalized messages/feedback, context-aware prompts/notifications",triggers,"dynamic content generation in-app, predict potential triggers, predict=machine learning used to predict lapses and trigger dynamic intervention",OnTrack: development and feasibility of a smartphone app designed to predict and prevent dietary lapses,,screenshots,app looks useful but the authors said they would need a separate paper to prove that
12.07.2024 18:19:08,not named,2020,specific app,Android,"Smartphone, Smartwatch",private,"questionnaire, other sensing","event-contingent, signal-contingent, continuous",in-app notifications,cardio-vascular problems,,"personalized messages/feedback, context-aware prompts/notifications",triggers,,Ecological Momentary Assessment based Behavior Interventions for Secondary Prevention of Coronary Heart Disease,,screenshots,call themselves a high-fidelty prototype instead of a fully-fledged app
12.07.2024 18:25:11,LiveWell,2021,,unknown,Smartphone,private,questionnaire,event-contingent,,"mood tracking, bipolar disorder",educational material,"personalized messages/feedback, coaching",,,A Smartphone-Based Self-Management Intervention for Individuals with Bipolar Disorder (LiveWell): Qualitative Study on User Experiences of the Behavior Change Process,yes,,
12.07.2024 18:32:12,Feel Stress Free,2020,specific app,"cross-platform, iOS, Android",Browser/PWA,private,questionnaire,event-contingent,,"mood tracking, general mental health, social interactions","educational material, exercises",personalized messages/feedback,,,Effectiveness of a Mobile App Intervention for Anxiety and Depression Symptoms in University Students: Randomized Controlled Trial,yes,"screenshots, external links or papers","web-based app made primarily for smartphones, users were instructed to use the app 10 minutes per day"
12.07.2024 18:40:47,MyQuit USC,2017,,,,"private, downloadable binaries",questionnaire,event-contingent,in-app notifications,"addiction cessation, smoking",reminders,context-aware prompts/notifications,triggers,,Development of a Just-in-Time Adaptive Intervention for Smoking Cessation Among Korean American Emerging Adults,,"diagrams, external links or papers",
12.07.2024 18:46:34,LifeData,2018,,"cross-platform, iOS, Android",Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health, hope","motivational messages, message=quotes about hope with images of hope-inspiring people",,,,Smartphone delivery of a hope intervention: Another way to flourish,yes,external links or papers,very static intervention as they collect EMA data and randomly deliver EMIs consisting of images or quotes not based on data
12.07.2024 18:54:03,STAMP + CBT,2021,specific app,"cross-platform, Android, iOS","Smartphone, Browser/PWA",private,"questionnaire, app or device usage sensing","event-contingent, signal-contingent",in-app notifications,cancer,educational material,personalized messages/feedback,adaptible intervention content,,Development and pre-pilot testing of STAMP + CBT: an mHealth app combining pain cognitive behavioral therapy and opioid support for patients with advanced cancer and pain,yes,"screenshots, diagrams",in EMA time spent per survey and time of reaction for notification is assessed
12.07.2024 19:00:30,"Imager, SEMA3",2023,specific app,"cross-platform, Android, iOS",Smartphone,"private, based on open-source technology",questionnaire,"event-contingent, signal-contingent",in-app notifications,general mental health,exercises,"context-aware prompts/notifications, desc=if answers indicate high levels of stress a reminder in form of a push notification is triggered",,,Imager—A mobile health mental imagery-based ecological momentary intervention targeting reward sensitivity: A randomized controlled trial,yes,"screenshots, external links or papers","Imager is built on SEMA3, an open-source platform for EMA/I apps, Imager is private but SEMA3 is open-source"
12.07.2024 19:08:48,not named,2024,specific app,Android,Smartphone,private,"questionnaire, camera, other sensing, external hardware sensing","event-contingent, continuous",in-app notifications,"mood tracking, dietary habits, cardio-vascular problems","educational material, exercises","personalized messages/feedback, alerting others, alert=healthcare provider",,"static content generation during development, classification of conditions, classify=AI used to classify images of food items",Effectiveness of a Smartphone App–Based Intervention With Bluetooth-Connected Monitoring Devices and a Feedback System in Heart Failure (SMART-HF Trial): Randomized Controlled Trial,yes,"screenshots, diagrams","allows to take images of food to classify them and track the ingredients' sodium levels in EMA, also has bluetooth-connected sensors as sensing method"
12.07.2024 19:15:28,Smart-T Alcohol,2022,specific app,Android,Smartphone,private,questionnaire,event-contingent,,"addiction cessation, alcohol",motivational messages,personalized messages/feedback,adaptible intervention content,static content generation during development,"Development and preliminary effectiveness of a smartphone-based, just-in- time adaptive intervention for adults with alcohol misuse who are experiencing homelessness",yes,screenshots,
