,id,url,name,description,owner,owner_type,owner_image_url,created_at,updated_at,homepage_url,repo_size_kb,license,num_stars,num_forks,is_fork,topics,is_archived,default_branch,main_language,has_projects,has_wiki,has_pages,has_discussions,has_issues,info_url,num_issues,num_subscribers,num_contributors,languages,readme
0,196436998,https://github.com/ohmyform/ohmyform,ohmyform,"✏️ Free open source alternative to TypeForm, TellForm, or Google Forms ⛺",ohmyform,Organization,https://avatars.githubusercontent.com/u/52511516?v=4,2019-07-11T17:18:42Z,2024-03-11T19:09:14Z,https://ohmyform.com/,24191,GNU Affero General Public License v3.0,2625,351,False,"['agplv3', 'container', 'docker', 'docker-compose', 'embedable', 'forms', 'googleforms', 'hacktoberfest', 'hacktoberfest2020', 'mit-license', 'ohmyform', 'selfhosted', 'survey', 'survey-app', 'surveys', 'tellform', 'typeform']",False,master,TypeScript,True,False,False,True,True,https://api.github.com/repos/ohmyform/ohmyform,0,0,0,[],
1,258163895,https://github.com/austrianredcross/stopp-corona-android,stopp-corona-android,Android Source Code,austrianredcross,Organization,https://avatars.githubusercontent.com/u/64197986?v=4,2020-04-23T10:07:28Z,2023-10-23T05:15:37Z,https://play.google.com/store/apps/details?id=at.roteskreuz.stopcorona,6907,GNU Affero General Public License v3.0,272,55,False,[],False,develop,Kotlin,True,True,False,False,True,https://api.github.com/repos/austrianredcross/stopp-corona-android,0,0,0,[],
2,68295976,https://github.com/RADAR-base/RADAR-Questionnaire,RADAR-Questionnaire,Questionnaire mobile application (Active App) for RADAR-base,RADAR-base,Organization,https://avatars.githubusercontent.com/u/22225205?v=4,2016-09-15T13:24:47Z,2024-02-07T18:17:26Z,https://radar-base.org/,82455,Apache License 2.0,17,15,False,"['android', 'cordova', 'ionic', 'radar-cns']",False,master,TypeScript,True,True,False,True,True,https://api.github.com/repos/RADAR-base/RADAR-Questionnaire,0,0,0,[],
3,136954604,https://github.com/Morningstar/GoASQ,GoASQ,General Open Architecture Security Questionnaire,Morningstar,Organization,https://avatars.githubusercontent.com/u/1441317?v=4,2018-06-11T16:45:32Z,2023-08-27T17:35:20Z,,1992,Apache License 2.0,29,13,False,['status-public'],False,master,JavaScript,True,True,False,False,True,https://api.github.com/repos/Morningstar/GoASQ,0,0,0,[],
4,96121448,https://github.com/Sunbird-Ed/SunbirdEd-portal,SunbirdEd-portal,Web Portal for sunbird software. Provides the web interfaces for all functionality of Sunbird. Find the installation instructions at: https://ed.sunbird.org/use-1/install-locally/sunbirded-portal,Sunbird-Ed,Organization,https://avatars.githubusercontent.com/u/44048170?v=4,2017-07-03T14:47:48Z,2024-02-09T19:12:29Z,,328780,MIT License,37,303,False,[],False,master,TypeScript,True,True,False,False,True,https://api.github.com/repos/Sunbird-Ed/SunbirdEd-portal,0,0,0,[],
5,589846478,https://github.com/StanfordSpezi/SpeziTemplateApplication,SpeziTemplateApplication,Template application demonstrating the usage of the Stanford Spezi framework.,StanfordSpezi,Organization,https://avatars.githubusercontent.com/u/133281989?v=4,2023-01-17T04:25:03Z,2024-03-04T18:04:21Z,https://stanfordspezi.github.io/SpeziTemplateApplication,25737,MIT License,82,17,False,"['fhir', 'ios', 'spezi', 'stanford', 'swift', 'xcode']",False,main,Swift,False,False,True,False,True,https://api.github.com/repos/StanfordSpezi/SpeziTemplateApplication,0,0,0,[],
6,119962756,https://github.com/pluginsGLPI/satisfaction,satisfaction,More satisfaction,pluginsGLPI,Organization,https://avatars.githubusercontent.com/u/10156352?v=4,2018-02-02T09:39:54Z,2023-12-04T09:03:06Z,,273,GNU Lesser General Public License v2.1,11,13,False,"['glpi', 'plugin', 'satellite']",False,master,PHP,True,True,False,False,True,https://api.github.com/repos/pluginsGLPI/satisfaction,0,0,0,[],
7,34294282,https://github.com/C3-PRO/c3-pro-ios-framework,c3-pro-ios-framework,Combining FHIR and ResearchKit,C3-PRO,Organization,https://avatars.githubusercontent.com/u/20068035?v=4,2015-04-21T00:27:01Z,2023-03-15T05:24:25Z,http://c3-pro.org,2947,Other,27,6,False,"['c3-pro', 'ios', 'researchkit', 'swift']",False,master,Swift,True,True,True,False,True,https://api.github.com/repos/C3-PRO/c3-pro-ios-framework,0,0,0,[],
10,71786782,https://github.com/avinassh/della,della,Della is a Django app for managing Secret Santa/Gift Exchange.,avinassh,User,https://avatars.githubusercontent.com/u/640792?v=4,2016-10-24T12:31:33Z,2023-08-20T11:34:59Z,http://avi.im/della,2648,MIT License,47,10,False,[],False,master,Python,True,True,True,False,True,https://api.github.com/repos/avinassh/della,0,0,0,[],
12,321260380,https://github.com/sdhealthconnect/leap-consent-ui,leap-consent-ui,LEAP Consent Management User Interface.,sdhealthconnect,Organization,https://avatars.githubusercontent.com/u/56735480?v=4,2020-12-14T06:57:23Z,2023-12-11T08:29:09Z,,35307,GNU General Public License v3.0,9,7,False,"['consent', 'fhir', 'questionnaire']",False,master,Java,True,True,False,False,True,https://api.github.com/repos/sdhealthconnect/leap-consent-ui,0,0,0,[],
14,46793671,https://github.com/Adyen/adyen-php-api-library,adyen-php-api-library,Adyen API Library for PHP,Adyen,Organization,https://avatars.githubusercontent.com/u/9713612?v=4,2015-11-24T13:34:39Z,2024-02-21T14:27:16Z,,4561,MIT License,146,100,False,"['adyen', 'adyen-api', 'api-client', 'api-library', 'hacktoberfest', 'payment', 'payment-gateway', 'payment-integration', 'payments', 'php']",False,main,PHP,True,True,False,False,True,https://api.github.com/repos/Adyen/adyen-php-api-library,0,0,0,[],
19,421501278,https://github.com/LucaBernstein/beancount-bot-tg,beancount-bot-tg,This telegram bot helps you in recording your beancount transactions easily (e.g. while on the go).,LucaBernstein,User,https://avatars.githubusercontent.com/u/16018720?v=4,2021-10-26T16:26:53Z,2024-02-25T14:50:18Z,https://t.me/LB_Bean_Bot,519,MIT License,28,3,False,"['beancount', 'go', 'golang', 'self-hosted', 'telegram-bot']",False,main,Go,True,False,False,False,True,https://api.github.com/repos/LucaBernstein/beancount-bot-tg,0,0,0,[],
20,589448358,https://github.com/Algorithmics001/Atomic_Tasker,Atomic_Tasker,This repo is for algorithmics hackathon project,Algorithmics001,User,https://avatars.githubusercontent.com/u/122769064?v=4,2023-01-16T06:15:33Z,2023-10-15T16:17:58Z,,68990,UNLICENSED,9,13,False,"['hacktoberfest', 'hacktoberfest-accepted', 'hacktoberfest2023']",False,main,JavaScript,True,True,False,False,True,https://api.github.com/repos/Algorithmics001/Atomic_Tasker,0,0,0,[],
24,180857530,https://github.com/HL7-DaVinci/prior-auth,prior-auth,Da Vinci Prior Authorization Reference Implementation,HL7-DaVinci,Organization,https://avatars.githubusercontent.com/u/40900514?v=4,2019-04-11T18:49:18Z,2024-03-12T12:44:27Z,,2102,Apache License 2.0,22,14,False,[],False,dev,Java,True,True,False,False,True,https://api.github.com/repos/HL7-DaVinci/prior-auth,0,0,0,[],
25,195236953,https://github.com/Adyen/adyen-node-api-library,adyen-node-api-library,Adyen API Library for Node.js,Adyen,Organization,https://avatars.githubusercontent.com/u/9713612?v=4,2019-07-04T12:24:22Z,2024-02-01T11:22:43Z,,13986,MIT License,95,56,False,"['adyen', 'api', 'api-client', 'api-library', 'hacktoberfest', 'node', 'node-js', 'nodejs', 'payment', 'payment-gateway', 'payment-integration']",False,main,TypeScript,False,False,False,False,True,https://api.github.com/repos/Adyen/adyen-node-api-library,0,0,0,[],
27,36481724,https://github.com/csantanapr/mfp-bank,mfp-bank,"Sample  Cordova App MFPBank using Ionic and MobileFirst Platform Foundation, Bluemix, Cloudant, and MQA",csantanapr,User,https://avatars.githubusercontent.com/u/1094878?v=4,2015-05-29T04:04:00Z,2019-09-26T19:25:17Z,https://csantanapr.github.io/mfp-bank,15216,Apache License 2.0,2,5,False,[],False,master,JavaScript,True,False,True,False,True,https://api.github.com/repos/csantanapr/mfp-bank,0,0,0,[],
29,166216925,https://github.com/pollfish/flutter-plugin-pollfish,flutter-plugin-pollfish,"Pollfish Flutter plugin, allows integration of Pollfish surveys into Flutter Android and iOS apps.",pollfish,Organization,https://avatars.githubusercontent.com/u/3800326?v=4,2019-01-17T11:47:04Z,2023-01-15T18:11:41Z,,224,Other,8,8,False,[],False,master,Dart,True,True,False,False,True,https://api.github.com/repos/pollfish/flutter-plugin-pollfish,0,0,0,[],
30,510673747,https://github.com/why-not-try-calmer/ringo,ringo,Simple bot for notifying admins on new Telegram user join requests.,why-not-try-calmer,User,https://avatars.githubusercontent.com/u/19554213?v=4,2022-07-05T09:41:16Z,2024-01-27T14:36:26Z,,134,MIT License,2,3,False,"['hacktoberfest', 'python-telegram-bot', 'telegram-bot']",False,master,Python,False,False,False,False,True,https://api.github.com/repos/why-not-try-calmer/ringo,0,0,0,[],
