url,classification,readme_check,missing_info,description,languages
https://github.com/ohmyform/ohmyform,Potential,FALSE,FALSE,"✏️ Free open source alternative to TypeForm, TellForm, or Google Forms ⛺","['TypeScript', 'JavaScript', 'Dockerfile', 'SCSS', 'Python', 'Shell', 'HTML', 'Procfile']"
https://github.com/austrianredcross/stopp-corona-android,Potential,TRUE,FALSE,Android Source Code,"['Kotlin', 'HTML', 'Shell']"
https://github.com/RADAR-base/RADAR-Questionnaire,Potential,FALSE,FALSE,Questionnaire mobile application (Active App) for RADAR-base,"['TypeScript', 'SCSS', 'HTML', 'JavaScript', 'Ruby', 'Shell']"
https://github.com/Morningstar/GoASQ,Unrelated,FALSE,FALSE,General Open Architecture Security Questionnaire,"['JavaScript', 'Python', 'HTML', 'Shell', 'CSS', 'Perl']"
https://github.com/Sunbird-Ed/SunbirdEd-portal,Unrelated,FALSE,FALSE,Web Portal for sunbird software. Provides the web interfaces for all functionality of Sunbird. Find the installation instructions at: https://ed.sunbird.org/use-1/install-locally/sunbirded-portal,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'SCSS', 'Java', 'Shell', 'EJS', 'Python', 'Dockerfile']"
https://github.com/StanfordSpezi/SpeziTemplateApplication,Unrelated,FALSE,FALSE,Template application demonstrating the usage of the Stanford Spezi framework.,"['Swift', 'Shell', 'Ruby']"
https://github.com/C3-PRO/c3-pro-ios-framework,Potential,TRUE,FALSE,Combining FHIR and ResearchKit,"['Swift', 'Python', 'Ruby', 'Shell']"
https://github.com/avinassh/della,Potential,FALSE,FALSE,Della is a Django app for managing Secret Santa/Gift Exchange.,"['Python', 'HTML', 'JavaScript', 'CSS']"
https://github.com/sdhealthconnect/leap-consent-ui,Unrelated,FALSE,FALSE,LEAP Consent Management User Interface.,"['Java', 'CSS', 'JavaScript', 'Shell', 'Dockerfile', 'TypeScript']"
https://github.com/Adyen/adyen-php-api-library,Potential,FALSE,FALSE,Adyen API Library for PHP,"['PHP', 'Mustache', 'Makefile', 'Shell']"
https://github.com/LucaBernstein/beancount-bot-tg,Unrelated,TRUE,FALSE,This telegram bot helps you in recording your beancount transactions easily (e.g. while on the go).,"['Go', 'Dart', 'Gherkin', 'Python', 'HTML', 'Dockerfile']"
https://github.com/Algorithmics001/Atomic_Tasker,Unrelated,TRUE,FALSE,This repo is for algorithmics hackathon project,"['JavaScript', 'Java', 'TypeScript', 'Ruby', 'Objective-C', 'Objective-C++']"
https://github.com/HL7-DaVinci/prior-auth,Unrelated,TRUE,FALSE,Da Vinci Prior Authorization Reference Implementation,"['Java', 'HTML', 'Shell', 'Dockerfile']"
https://github.com/Adyen/adyen-node-api-library,Unrelated,FALSE,FALSE,Adyen API Library for Node.js,"['TypeScript', 'Mustache', 'Makefile', 'JavaScript']"
https://github.com/csantanapr/mfp-bank,Unrelated,FALSE,FALSE,"Sample  Cordova App MFPBank using Ionic and MobileFirst Platform Foundation, Bluemix, Cloudant, and MQA","['JavaScript', 'CSS', 'HTML', 'Objective-C', 'Java', 'XSLT', 'Shell']"
https://github.com/pollfish/flutter-plugin-pollfish,Unrelated,TRUE,FALSE,"Pollfish Flutter plugin, allows integration of Pollfish surveys into Flutter Android and iOS apps.","['Dart', 'Java', 'Objective-C', 'Ruby']"
https://github.com/why-not-try-calmer/ringo,Potential,FALSE,FALSE,Simple bot for notifying admins on new Telegram user join requests.,"['Python', 'Dockerfile']"
https://github.com/RADAR-base/RADAR-Appserver,Unrelated,FALSE,FALSE,General purpose application server for the radar platform currently with capability to schedule push notifications,"['Java', 'Python', 'Scala', 'Dockerfile']"
https://github.com/HeyMaslo/companion-kit,Potential,FALSE,FALSE,This is the official repository of the maslo companion kit,"['TypeScript', 'Sass', 'JavaScript', 'HTML', 'EJS', 'SCSS', 'CSS']"
https://github.com/juacas/quizaccess_delayed,Unrelated,TRUE,FALSE,Auto Activate Quiz Attempt Button with randomized delay,"['PHP', 'JavaScript', 'CSS']"
https://github.com/sichallez/GiftFinder,Potential,TRUE,FALSE,"A fullstack PostgreSQL-Express-React-Node web application for gift suggestions, wishlist sharing and gift reservation within user-groups. MUI CSS framework. Deployed to Heroku.","['JavaScript', 'CSS', 'HTML', 'Shell']"
https://github.com/davosmith/moodle-navbuttons,Unrelated,TRUE,FALSE,Adds navigation buttons to the bottom of each activity page in Moodle (1.9/2.0+),"['PHP', 'JavaScript', 'Gherkin', 'CSS']"
https://github.com/dropbox/dropbox-sdk-obj-c,Unrelated,FALSE,FALSE,Official Objective-C SDK for the Dropbox API v2.,"['Objective-C', 'Python', 'CSS', 'Shell', 'Ruby', 'C']"
https://github.com/cwhuang29/questionnaire,Unrelated,FALSE,FALSE,A questionnaire management website built for researchers.,"['JavaScript', 'Go', 'HTML', 'CSS', 'Dockerfile']"
https://github.com/WPManageNinja/ninja-job-board,Potential,FALSE,FALSE,Simple and Powerful WP Job Board,"['JavaScript', 'PHP', 'Vue', 'SCSS', 'CSS', 'Hack']"
https://github.com/ONSdigital/rm-case-service,Potential,TRUE,FALSE,This microservice manages cases.,"['Java', 'PLpgSQL', 'Makefile', 'Dockerfile']"
https://github.com/davosmith/moodle-checklist,Unrelated,FALSE,FALSE,Checklist plugin for Moodle - allows a teacher to create a checklist for their students to tick-off,"['PHP', 'Gherkin', 'JavaScript', 'Mustache', 'CSS']"
https://github.com/seattleflu/id3c,Unrelated,FALSE,FALSE,Data logistics system enabling real-time pathogen surveillance. Built for the Seattle Flu Study.,"['PLpgSQL', 'Python', 'HTML', 'Shell', 'Makefile']"
https://github.com/COMPSCI705-SOFTENG702-Group-2/LinkupGameWithNotifications,Unrelated,TRUE,FALSE,A project to test the effects of notification length with a Linkup Game as a primary task,"['JavaScript', 'Jupyter Notebook', 'CSS', 'SCSS', 'HTML']"
https://github.com/no-dap/capacitor-notification-extensions,Potential,FALSE,FALSE,"Notification extensions for handling data notification, and client-side filtering, ....","['Kotlin', 'Swift', 'TypeScript', 'Objective-C', 'Java', 'Ruby', 'JavaScript']"
https://github.com/LisaGotzian/HeartSteps,Unrelated,FALSE,FALSE,The HeartSteps data was collected during a mobile health intervention with the HeartSteps app and combines tracker data with the Google Fitbit and Jawbone as well as local weather data.,['R']
